"","VariantID","DISEASE/TRAIT","MAPPED_GENE","CONTEXT","INTERGENIC","RISK ALLELE FREQUENCY","MAPPED_TRAIT","EnsVar_most_severe_consequence","Parent term","monogenic_searched_resource","monogenic_disease_name"
"1089","rs397797581","Height","SCN4A","3_prime_UTR_variant",0,"0.476437","body height","3_prime_UTR_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1090","rs397797581","Height","SCN4A","3_prime_UTR_variant",0,"0.476437","body height","3_prime_UTR_variant","Body measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1091","rs4546690","Height","EXT1","intron_variant",0,"NR","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Exostoses multiple type I (EXT1)"
"1092","rs4546690","Height","EXT1","intron_variant",0,"NR","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Exostoses multiple type I (EXT1)"
"1093","rs7143616","Height","ATXN3","intron_variant",0,"NR","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Spinocerebellar ataxia 3 (SCA3)"
"1094","rs7143616","Height","ATXN3","intron_variant",0,"NR","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Spinocerebellar ataxia 3 (SCA3)"
"1095","rs73173954","Height","PAH","intron_variant",0,"NR","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Phenylketonuria"
"1096","rs73173954","Height","PAH","intron_variant",0,"NR","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Phenylketonuria"
"1097","rs147829960","Height","PKD1","intron_variant",0,"NR","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney disease type 1 (PKD1)"
"1098","rs147829960","Height","PKD1","intron_variant",0,"NR","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney disease type 1 (PKD1)"
"1099","rs1800715","Height","TSC2","intron_variant",0,"NR","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Tuberosclerosis 2"
"1100","rs1800715","Height","TSC2","intron_variant",0,"NR","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Tuberosclerosis 2"
"1101","rs112489358","Height","SCN4A","3_prime_UTR_variant",0,"NR","body height","3_prime_UTR_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1102","rs112489358","Height","SCN4A","3_prime_UTR_variant",0,"NR","body height","3_prime_UTR_variant","Other measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1103","rs112489358","Height","SCN4A","3_prime_UTR_variant",0,"NR","body height","3_prime_UTR_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1104","rs112489358","Height","SCN4A","3_prime_UTR_variant",0,"NR","body height","3_prime_UTR_variant","Body measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1105","rs2247876","Height","FBN1","intron_variant",0,"NR","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Marfan syndrome"
"1106","rs2247876","Height","FBN1","intron_variant",0,"NR","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Marfan syndrome"
"1107","rs2247876","Height","FBN1","intron_variant",0,"0.248769","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Marfan syndrome"
"1108","rs2247876","Height","FBN1","intron_variant",0,"0.248769","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Marfan syndrome"
"1109","rs2247876","Height","FBN1","intron_variant",0,"NR","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Marfan syndrome"
"1110","rs2247876","Height","FBN1","intron_variant",0,"NR","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Marfan syndrome"
"1111","rs76610457","Height","FBN1","intron_variant",0,"NR","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Marfan syndrome"
"1112","rs76610457","Height","FBN1","intron_variant",0,"NR","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Marfan syndrome"
"1113","rs11989122","Height","EXT1","intron_variant",0,"0.48","body height","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Exostoses multiple type I (EXT1)"
"1114","rs11989122","Height","EXT1","intron_variant",0,"0.48","body height","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Exostoses multiple type I (EXT1)"
"1115","rs334","Hematocrit","HBB","missense_variant",0,"0.99","hematocrit","missense_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Sickle cell anemia"
"1116","rs334","Hematocrit","HBB","missense_variant",0,"0.99","hematocrit","missense_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Thalassemia-?"
"1117","rs1581717","Hematocrit","PKHD1","intron_variant",0,"0.483003","hematocrit","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney and hepatic disease-1 (ARPKD)"
"1118","rs9296668","Hematocrit","PKHD1","intron_variant",0,"0.43997","hematocrit","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney and hepatic disease-1 (ARPKD)"
"1119","rs11549407","Hematocrit","HBB","stop_gained",0,"3.0E-4","hematocrit","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Sickle cell anemia"
"1120","rs11549407","Hematocrit","HBB","stop_gained",0,"3.0E-4","hematocrit","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Thalassemia-?"
"1121","rs11549407","Hematocrit","HBB","stop_gained",0,"NR","hematocrit","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Sickle cell anemia"
"1122","rs11549407","Hematocrit","HBB","stop_gained",0,"NR","hematocrit","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Thalassemia-?"
"1123","rs2499472","Hematocrit","PKHD1","intron_variant",0,"0.672547","hematocrit","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney and hepatic disease-1 (ARPKD)"
"1124","rs2242420","Hematological and biochemical traits","ALPL","3_prime_UTR_variant",0,"0.18","alkaline phosphatase measurement","3_prime_UTR_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","HYPOPHOSPHATASIA"
"1125","rs2242420","Hematological and biochemical traits","ALPL","3_prime_UTR_variant",0,"0.18","alkaline phosphatase measurement","3_prime_UTR_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","HYPOPHOSPHATASIA"
"1126","rs2242420","Hematological and biochemical traits","ALPL","3_prime_UTR_variant",0,"0.18","alkaline phosphatase measurement","3_prime_UTR_variant","Cardiovascular measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","HYPOPHOSPHATASIA"
"1127","rs2242420","Hematological and biochemical traits","ALPL","3_prime_UTR_variant",0,"0.18","alkaline phosphatase measurement","3_prime_UTR_variant","Liver enzyme measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","HYPOPHOSPHATASIA"
"1128","rs2242420","Hematological and biochemical traits","ALPL","3_prime_UTR_variant",0,"0.18","alkaline phosphatase measurement","3_prime_UTR_variant","Lipid or lipoprotein measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","HYPOPHOSPHATASIA"
"1129","rs11066301","Hematological parameters","PTPN11","intron_variant",0,"NR","platelet count","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Noonan sindrome"
"1130","rs9296668","Hemoglobin","PKHD1","intron_variant",0,"0.483801","hemoglobin measurement","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney and hepatic disease-1 (ARPKD)"
"1131","rs11549407","Hemoglobin","HBB","stop_gained",0,"0.026","hemoglobin measurement","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Sickle cell anemia"
"1132","rs11549407","Hemoglobin","HBB","stop_gained",0,"0.026","hemoglobin measurement","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Thalassemia-?"
"1133","rs334","Hemoglobin A1c levels","HBB","missense_variant",0,"NR","HbA1c measurement","missense_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Sickle cell anemia"
"1134","rs334","Hemoglobin A1c levels","HBB","missense_variant",0,"NR","HbA1c measurement","missense_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Thalassemia-?"
"1135","rs1609812","Hemoglobin A1c levels","HBB","intron_variant",0,"NR","hemoglobin A1 measurement","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Sickle cell anemia"
"1136","rs1609812","Hemoglobin A1c levels","HBB","intron_variant",0,"NR","hemoglobin A1 measurement","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Thalassemia-?"
"1137","rs9296668","Hemoglobin concentration","PKHD1","intron_variant",0,"0.483048","hemoglobin measurement","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney and hepatic disease-1 (ARPKD)"
"1138","rs9296668","Hemoglobin concentration","PKHD1","intron_variant",0,"0.439007","hemoglobin measurement","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney and hepatic disease-1 (ARPKD)"
"1139","rs11549407","Hemoglobin levels","HBB","stop_gained",0,"3.0E-4","hemoglobin measurement","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Sickle cell anemia"
"1140","rs11549407","Hemoglobin levels","HBB","stop_gained",0,"3.0E-4","hemoglobin measurement","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Thalassemia-?"
"1141","rs11549407","Hemoglobin levels","HBB","stop_gained",0,"NR","hemoglobin measurement","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Sickle cell anemia"
"1142","rs11549407","Hemoglobin levels","HBB","stop_gained",0,"NR","hemoglobin measurement","stop_gained","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Thalassemia-?"
"1143","rs5030868","Hemoglobin levels","G6PD","missense_variant",0,"0.085","hemoglobin measurement, hemoglobin A1 measurement","missense_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Glucose-6-phosphate dehydrogenase deficiency"
"1144","rs1801133","High altitude adaptation","MTHFR","missense_variant",0,"0.333","high altitude adaptation","missense_variant","Biological process","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Homocystinuria"
"1145","rs11066301","High density lipoprotein cholesterol levels","PTPN11","intron_variant",0,"NR","high density lipoprotein cholesterol measurement","intron_variant","Lipid or lipoprotein measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Noonan sindrome"
"1146","rs10229792","High density lipoprotein cholesterol levels","CFTR","intron_variant",0,"NR","high density lipoprotein cholesterol measurement","intron_variant","Lipid or lipoprotein measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Cystic Fibrosis  (CF)"
"1147","rs10229792","High density lipoprotein cholesterol levels","CFTR","intron_variant",0,"0.362178","high density lipoprotein cholesterol measurement","intron_variant","Lipid or lipoprotein measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Cystic Fibrosis  (CF)"
"1148","rs28605000","High density lipoprotein cholesterol levels","PKD1","non_coding_transcript_exon_variant",0,"NR","high density lipoprotein cholesterol measurement","non_coding_transcript_exon_variant","Lipid or lipoprotein measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney disease type 1 (PKD1)"
"1149","rs554941446","High density lipoprotein cholesterol levels","CYP21A2","5_prime_UTR_variant",0,"NR","high density lipoprotein cholesterol measurement","5_prime_UTR_variant","Lipid or lipoprotein measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Congenital adrenal hyperplasia (CAH)"
"1150","rs554941446","High density lipoprotein cholesterol levels","CYP21A2","5_prime_UTR_variant",0,"NR","high density lipoprotein cholesterol measurement","5_prime_UTR_variant","Lipid or lipoprotein measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Congenital adrenal hyperplasia (CAH)"
"1151","rs4018180","High light scatter reticulocyte count","PKD1","intron_variant",0,"0.067581","reticulocyte count","intron_variant","Hematological measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney disease type 1 (PKD1)"
"1152","rs17430287","Highest math class taken","EXT1","intron_variant",0,"0.7917","mathematical ability","intron_variant","Biological process","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Exostoses multiple type I (EXT1)"
"1153","rs4298514","Highest math class taken (MTAG)","EXT1","intron_variant",0,"0.7077","mathematical ability","intron_variant","Biological process","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Exostoses multiple type I (EXT1)"
"1154","rs2532111","Hip circumference adjusted for BMI","SCN4A","3_prime_UTR_variant",0,"NR","BMI-adjusted hip circumference","3_prime_UTR_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1155","rs2532111","Hip circumference adjusted for BMI","SCN4A","3_prime_UTR_variant",0,"NR","BMI-adjusted hip circumference","3_prime_UTR_variant","Body measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1156","rs595244","Hip circumference adjusted for BMI","FBN1","intron_variant",0,"NR","BMI-adjusted hip circumference","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Marfan syndrome"
"1157","rs58235019","Hip circumference adjusted for BMI","PTPN11","intron_variant",0,"NR","BMI-adjusted hip circumference","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Noonan sindrome"
"1158","rs142728549","Hip circumference adjusted for BMI","VHL","3_prime_UTR_variant",0,"NR","BMI-adjusted hip circumference","3_prime_UTR_variant","Body measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Von Hippel-Lindau syndrome"
"1159","rs3819779","Hip circumference adjusted for BMI","ATXN3","intron_variant",0,"NR","BMI-adjusted hip circumference","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Spinocerebellar ataxia 3 (SCA3)"
"1160","rs2058194","Hip circumference adjusted for BMI","SCN4A","missense_variant",0,"NR","BMI-adjusted hip circumference","missense_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1161","rs2058194","Hip circumference adjusted for BMI","SCN4A","missense_variant",0,"NR","BMI-adjusted hip circumference","missense_variant","Body measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1162","rs2877372","Hip circumference adjusted for BMI","SCN4A","intron_variant",0,"NR","BMI-adjusted hip circumference","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1163","rs2877372","Hip circumference adjusted for BMI","SCN4A","intron_variant",0,"NR","BMI-adjusted hip circumference","intron_variant","Body measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1164","rs2877372","Hip circumference adjusted for BMI","SCN4A","intron_variant",0,"NR","BMI-adjusted hip circumference","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1165","rs2877372","Hip circumference adjusted for BMI","SCN4A","intron_variant",0,"NR","BMI-adjusted hip circumference","intron_variant","Body measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1166","rs35993844","Hip circumference adjusted for BMI","SCN4A","intron_variant",0,"NR","BMI-adjusted hip circumference","intron_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1167","rs35993844","Hip circumference adjusted for BMI","SCN4A","intron_variant",0,"NR","BMI-adjusted hip circumference","intron_variant","Body measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1168","rs6462","Hip circumference adjusted for BMI","CYP21A2","non_coding_transcript_exon_variant",0,"NR","BMI-adjusted hip circumference","non_coding_transcript_exon_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Congenital adrenal hyperplasia (CAH)"
"1169","rs6462","Hip circumference adjusted for BMI","CYP21A2","non_coding_transcript_exon_variant",0,"NR","BMI-adjusted hip circumference","non_coding_transcript_exon_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Congenital adrenal hyperplasia (CAH)"
"1170","rs1801133","Hip index","MTHFR","missense_variant",0,"NR","BMI-adjusted hip circumference","missense_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Homocystinuria"
"1171","rs1801131","Hip index","MTHFR","missense_variant",0,"NR","BMI-adjusted hip circumference","missense_variant","Body measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Homocystinuria"
"1172","rs337847","Hippocampal atrophy","ARSB","intron_variant",0,"NR","hippocampal atrophy","intron_variant","Neurological disorder","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Mucopolysaccharidosis Type VI (MPS VI) - Maroteaux-Lamy Syndrome"
"1173","rs1801133","Homocysteine levels","MTHFR","missense_variant",0,"NR","homocysteine measurement","missense_variant","Cardiovascular measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Homocystinuria"
"1174","rs1801133","Homocysteine levels","MTHFR","missense_variant",0,"0.33","homocysteine measurement","missense_variant","Cardiovascular measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Homocystinuria"
"1175","rs1801133","Homocysteine levels","MTHFR","missense_variant",0,"0.34","homocysteine measurement","missense_variant","Cardiovascular measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Homocystinuria"
"1176","rs1801133","Homocysteine levels","MTHFR","missense_variant",0,"0.58","homocysteine measurement","missense_variant","Cardiovascular measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Homocystinuria"
"1177","rs12921383","Homocysteine levels","FANCA","intron_variant",0,"0.87","homocysteine measurement","intron_variant","Cardiovascular measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Fanconi anemia A"
"1178","rs10103003","Household income (MTAG)","EXT1","intron_variant",0,"0.4553","household income","intron_variant","Other trait","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Exostoses multiple type I (EXT1)"
"1179","rs9928278","Hypertrophic cardiomyopathy (MTAG)","PKD1","intron_variant",0,"0.1828","hypertrophic cardiomyopathy","splice_polypyrimidine_tract_variant","Cardiovascular disease","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney disease type 1 (PKD1)"
"1180","rs2728099","Hyperuricemia","PKD2","intron_variant",0,"0.2276","uric acid measurement","intron_variant","Metabolic disorder","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney disease type 2 (PKD2)"
"1181","rs2728099","Hyperuricemia","PKD2","intron_variant",0,"0.2276","uric acid measurement","intron_variant","Cardiovascular measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney disease type 2 (PKD2)"
"1182","rs6926116","Hypoxanthine levels in elite athletes","PKHD1","intron_variant",0,"NR","Hypoxanthine measurement","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Polycystic kidney and hepatic disease-1 (ARPKD)"
"1183","rs28439696","IDP T1 FIRST left pallidum volume","ALPL","intron_variant",0,"0.184","brain volume measurement","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","HYPOPHOSPHATASIA"
"1184","rs35501848","IgD on IgD+ CD24- B cell","SCN4A","intron_variant",0,"0.51204","blood protein measurement","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1185","rs35501848","IgD on IgD+ CD24- B cell","SCN4A","intron_variant",0,"0.51204","blood protein measurement","intron_variant","Other measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1186","rs35501848","IgD on IgD+ CD38dim B cell","SCN4A","intron_variant",0,"0.51204","blood protein measurement","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Paramyotonia congenita (PMC)"
"1187","rs35501848","IgD on IgD+ CD38dim B cell","SCN4A","intron_variant",0,"0.51204","blood protein measurement","intron_variant","Other measurement","Antonarakis SE. The search for allelic variants that cause monogenic disorders or predispose to common, complex polygenic phenotypes.","Huntington chorea"
"1188","rs11466021","Impulse control disorders in Parkinson’s disease","MEFV","intron_variant",0,"NR","impulse control disorder","intron_variant","Other disease","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Familial Mediterranean Fever (FMF)"
"1189","rs10774779","Insomnia","MVK","intron_variant",0,"NR","insomnia","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Mevalonic aciduria"
"1190","rs10774779","Insomnia","MVK","intron_variant",0,"NR","insomnia","intron_variant","Neurological disorder","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Mevalonic aciduria"
"1191","rs10774779","Insomnia","MVK","intron_variant",0,"NR","insomnia","intron_variant","Other measurement","https://www.preimplantationgeneticdiagnosis.eu/pgd/monogenic-diseases-that-can-be-diagnosed-by-pgd.aspx","Mevalonic aciduria"
