"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs9610686-<b>C</b>,"3 x 10-8",,0.39,1.11,'-,'-,RAC2,"Celiac disease","celiac disease",'-,GCST010064,22:37237811
rs113857285-<b>A</b>,"8 x 10-10",,0.002145,'-,"4.04 unit increase",[2.75-5.33],"TSBP1, TSBP1-AS1","Celiac disease (PheCode 557.1)","celiac disease",'-,GCST90044158,6:32368768
rs190732321-<b>T</b>,"1 x 10-9",,0.005759,'-,"2.15 unit increase",[1.46-2.84],LINC01016,"Celiac disease (PheCode 557.1)","celiac disease",'-,GCST90044158,6:33888840
rs10188217-<b>C</b>,"1 x 10-11",(combined),NR,'-,'-,'-,PUS10,"Crohn's disease and celiac disease","celiac disease, Crohn's disease",'-,GCST000955,2:60990407
rs212388-<b>C</b>,"2 x 10-10",(combined),NR,'-,'-,'-,TAGAP-AS1,"Crohn's disease and celiac disease","celiac disease, Crohn's disease",'-,GCST000955,6:159069404
rs9979383-<b>?</b>,"1 x 10-8",,NR,0.92,'-,'-,RUNX1,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,21:35343463
rs212400-<b>?</b>,"6 x 10-11",,NR,1.1,'-,'-,TAGAP-AS1,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,6:159052542
rs11217040-<b>?</b>,"2 x 10-11",,NR,0.89,'-,'-,"DDX6, SETP16","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,11:118809939
rs62323881-<b>?</b>,"6 x 10-9",,NR,1.16,'-,'-,"KIAA1109, RN7SL335P","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,4:122117140
rs4073285-<b>?</b>,"2 x 10-13",,NR,0.9,'-,'-,MMEL1,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,1:2608357
rs6696533-<b>?</b>,"3 x 10-8",,NR,1.08,'-,'-,"MIR181A1HG, PTPRC","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,1:198764438
rs10203477-<b>?</b>,"4 x 10-8",,NR,0.93,'-,'-,LINC01185,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,2:60877850
rs11123810-<b>?</b>,"7 x 10-12",,NR,0.91,'-,'-,AFF3,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,2:100142823
rs6749371-<b>?</b>,"7 x 10-11",,NR,0.84,'-,'-,STAT4,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,2:191037458
rs1980422-<b>?</b>,"2 x 10-17",,NR,1.14,'-,'-,"KRT18P39, CD28","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,2:203745673
rs72928038-<b>?</b>,"4 x 10-11",,NR,1.13,'-,'-,BACH2,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,6:90267049
rs17264332-<b>?</b>,"3 x 10-27",,NR,1.19,'-,'-,"LINC02539, SLC17A1","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,6:137684378
rs74830391-<b>?</b>,"3 x 10-9",,NR,1.14,'-,'-,ELMO1,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,7:37387686
rs6651252-<b>?</b>,"8 x 10-9",,NR,0.89,'-,'-,LINC00824,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,8:128554935
rs947474-<b>?</b>,"8 x 10-11",,NR,0.89,'-,'-,LINC02649,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,10:6348488
rs11066188-<b>?</b>,"9 x 10-10",,NR,1.09,'-,'-,HECTD4,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,12:112172910
rs80209296-<b>?</b>,"1 x 10-12",,NR,1.14,'-,'-,PTPN2,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,18:12860802
rs1893592-<b>?</b>,"8 x 10-11",,NR,0.91,'-,'-,UBASH3A,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,21:42434957
rs4821124-<b>?</b>,"2 x 10-11",,NR,1.12,'-,'-,"YDJC, UBE2L3","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,22:21625000
rs7579944-<b>?</b>,"2 x 10-8",,NR,1.08,'-,'-,"LBH, H3P5","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,2:30222160
rs6679677-<b>?</b>,"1 x 10-53",,NR,1.41,'-,'-,"PHTF1, RSBN1","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,1:113761186
rs17849502-<b>?</b>,"1 x 10-14",,NR,1.26,'-,'-,"SMG7, NCF2","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,1:183563445
rs16867384-<b>?</b>,"6 x 10-9",,NR,1.1,'-,'-,LINC01934,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,2:181246479
rs67676925-<b>?</b>,"2 x 10-11",,NR,1.18,'-,'-,CCR3,"Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,GCST008644,3:46232768
rs72743477-<b>G</b>,"8 x 10-11",,0.21,'-,'-,'-,SMAD3,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,15:67171953
rs6679677-<b>A</b>,"8 x 10-11",,0.09,'-,'-,'-,"PHTF1, RSBN1","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:113761186
rs34884278-<b>C</b>,"4 x 10-7",,0.3,'-,'-,'-,AIMP1P2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:172869708
rs6689858-<b>C</b>,"2 x 10-7",,0.29,'-,'-,'-,CRB1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:197406337
rs55705316-<b>G</b>,"1 x 10-6",,0.14,'-,'-,'-,"IL10, Y_RNA","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:206760172
rs2075184-<b>T</b>,"9 x 10-8",,0.23,'-,'-,'-,"IL18RAP, SLC9A4","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,2:102464132
rs36001488-<b>C</b>,"8 x 10-11",,0.48,'-,'-,'-,ATG16L1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,2:233276621
rs4676410-<b>A</b>,"2 x 10-7",,0.19,'-,'-,'-,GPR35,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,2:240624322
rs4625-<b>G</b>,"8 x 10-11",,0.31,'-,'-,'-,DAG1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,3:49534707
rs62324212-<b>A</b>,"3 x 10-8",,0.42,'-,'-,'-,IL21-AS1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,4:122639784
rs7725052-<b>C</b>,"8 x 10-11",,0.43,'-,'-,'-,"RNU1-150P, TTC33","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:40487168
rs7731626-<b>A</b>,"1 x 10-10",,0.39,'-,'-,'-,ANKRD55,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:56148856
rs4869313-<b>T</b>,"9 x 10-8",,0.42,'-,'-,'-,ERAP2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:96888176
rs11741255-<b>A</b>,"2 x 10-9",,0.42,'-,'-,'-,"IRF1, IRF1-AS1","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:132475490
rs755374-<b>T</b>,"2 x 10-10",,0.32,'-,'-,'-,"IL12B, LINC01845","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,5:159402286
rs36051895-<b>T</b>,"9 x 10-8",,0.29,'-,'-,'-,"HNRNPA1P41, JAK2","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:4981866
rs4246905-<b>T</b>,"1 x 10-8",,0.28,'-,'-,'-,TNFSF15,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:114790969
rs11145763-<b>C</b>,"3 x 10-8",,0.4,'-,'-,'-,CARD9,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:136369144
rs706778-<b>T</b>,"6 x 10-9",,0.41,'-,'-,'-,IL2RA,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:6056986
rs10822050-<b>C</b>,"8 x 10-11",,0.39,'-,'-,'-,ALDH7A1P4,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:62679011
rs1250563-<b>C</b>,"1 x 10-8",,0.29,'-,'-,'-,ZMIZ1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:79287626
rs1332099-<b>T</b>,"9 x 10-11",,0.46,'-,'-,'-,"SLC25A28, NKX2-3","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:99538694
rs17885785-<b>T</b>,"8 x 10-11",,0.2,'-,'-,'-,"INS-IGF2, IGF2-AS","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,11:2146620
rs17466626-<b>G</b>,"3 x 10-10",,0.02,'-,'-,'-,LRRK2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,12:40366829
rs1689510-<b>C</b>,"4 x 10-9",,0.31,'-,'-,'-,SUOX,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,12:56002984
rs11580078-<b>G</b>,"8 x 10-11",,0.43,'-,'-,'-,"C1orf141, IL23R","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:67203951
rs12598357-<b>G</b>,"4 x 10-9",,0.39,'-,'-,'-,"SBK1, NPIPB6","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,16:28329624
rs12928404-<b>C</b>,"6 x 10-7",,0.38,'-,'-,'-,ATXN2L,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,16:28835925
rs117372389-<b>T</b>,"8 x 10-11",,0.02,'-,'-,'-,NKD1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,16:50634166
rs12232497-<b>C</b>,"3 x 10-7",,0.45,'-,'-,'-,"GSDMB, ZPBP2","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,17:39883866
rs62131887-<b>T</b>,"4 x 10-7",,0.28,'-,'-,'-,"PDE4A, KEAP1","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,19:10476920
rs602662-<b>G</b>,"5 x 10-8",,0.49,'-,'-,'-,FUT2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,19:48703728
rs2738774-<b>A</b>,"9 x 10-7",,0.32,'-,'-,'-,"MHENCR, STMN3","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,20:63637985
rs2836882-<b>A</b>,"5 x 10-8",,0.27,'-,'-,'-,RPL23AP12,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,21:39094644
rs2066363-<b>C</b>,"8 x 10-11",,0.34,'-,'-,'-,ADGRL2,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,1:81771892
rs114846446-<b>A</b>,"2 x 10-7",,0.01,'-,'-,'-,LINC01250,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, psoriasis, ankylosing spondylitis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,2:2944140
rs7672495-<b>C</b>,"1 x 10-7",,0.18,'-,'-,'-,"CYTL1, RN7SKP113","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,4:4990640
rs7660520-<b>A</b>,"8 x 10-11",,0.26,'-,'-,'-,"DCTD, TENM3","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,4:182824168
rs7831697-<b>G</b>,"5 x 10-7",,0.25,'-,'-,'-,RNU6-144P,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,8:137124061
rs7042370-<b>T</b>,"1 x 10-7",,0.43,'-,'-,'-,"LURAP1L, LURAP1L-AS1","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:12785074
rs10988542-<b>C</b>,"7 x 10-7",,0.08,'-,'-,'-,FNBP1,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,9:129894985
rs7100025-<b>G</b>,"8 x 10-11",,0.34,'-,'-,'-,LINC00993,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,10:37303610
rs11839053-<b>C</b>,"1 x 10-6",,0.02,'-,'-,'-,"RPL35P9, LINC00460","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,13:106410694
rs77150043-<b>T</b>,"6 x 10-9",,0.23,'-,'-,'-,ADCY7,"Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,16:50270338
rs2807264-<b>C</b>,"1 x 10-8",,0.21,'-,'-,'-,"LINC00892, RNU6-320P","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,X:136583619
rs12863738-<b>T</b>,"6 x 10-8",,0.17,'-,'-,'-,"SRRM1P3, RPL22P23","Pediatric autoimmune diseases","autoimmune thyroid disease, obsolete_common variable immunodeficiency, type 1 diabetes mellitus, ankylosing spondylitis, psoriasis, celiac disease, obsolete_systemic lupus erythematosus, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis",'-,GCST003097,X:136949968
