"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2266961-<b>?</b>,"4 x 10-15","(subset analysis)",NR,'-,'-,'-,UBE2L3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,22:21574308
rs140135-<b>?</b>,"6 x 10-9","(subset analysis)",NR,'-,'-,'-,UQCR10,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,22:29767846
rs2143178-<b>?</b>,"2 x 10-33","(subset analysis)",NR,'-,'-,'-,"RPL3, PDGFB","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,22:39264824
rs5757584-<b>?</b>,"4 x 10-9","(subset analysis)",NR,'-,'-,'-,"PDGFB, RPL3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,22:39266545
rs1569414-<b>?</b>,"6 x 10-10","(subset analysis)",NR,'-,'-,'-,FAM118A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,22:45331684
rs10761648-<b>?</b>,"6 x 10-16","(subset analysis)",NR,'-,'-,'-,ZEB1-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,10:62594503
rs2412973-<b>?</b>,"2 x 10-9",,0.46,1.15,'-,[1.01-1.31],HORMAD2,"Inflammatory bowel disease (early onset)","inflammatory bowel disease",'-,GCST000531,22:30133642
rs8049439-<b>G</b>,"2 x 10-9",,0.37,1.14,'-,[1.00-1.30],ATXN2L,"Inflammatory bowel disease (early onset)","inflammatory bowel disease",'-,GCST000531,16:28826194
rs10500264-<b>?</b>,"4 x 10-10",,0.18,1.21,'-,[1.11-1.31],"CEBPA, SLC7A10","Inflammatory bowel disease (early onset)","inflammatory bowel disease",'-,GCST000531,19:33259408
rs1250550-<b>?</b>,"6 x 10-9",,0.68,1.16,'-,[1.09-1.25],ZMIZ1,"Inflammatory bowel disease (early onset)","inflammatory bowel disease",'-,GCST000531,10:79300560
rs2315008-<b>G</b>,"9 x 10-15",,0.69,1.36,'-,[1.05-1.76],ZGPAT,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST000225,20:63712604
rs5743289-<b>T</b>,"4 x 10-10",,0.17,1.46,'-,[1.29-1.64],NOD2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST000225,16:50722863
rs477515-<b>?</b>,"1 x 10-8",,0.69,1.38,'-,[1.23-1.54],"HLA-DQA1, HLA-DRB1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST000225,6:32601914
rs6478109-<b>?</b>,"3 x 10-8",,0.69,1.36,'-,[1.22-1.52],"TNFSF15, DELEC1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST000225,9:114806486
rs2836878-<b>?</b>,"4 x 10-12",,0.72,1.41,'-,[1.08-1.84],RPL23AP12,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST000225,21:39093608
rs11209026-<b>?</b>,"7 x 10-11",,0.94,2.56,'-,[1.92-3.45],IL23R,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST000225,1:67240275
rs2076756-<b>?</b>,"5 x 10-10",,NR,'-,'-,'-,NOD2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST000008,16:50722970
rs8005161-<b>T</b>,"2 x 10-14",,0.089,1.153,'-,[1.097-1.211],GPR65,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,14:88006251
rs17293632-<b>T</b>,"6 x 10-16",,0.235,1.067,'-,[1.032-1.102],SMAD3,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,15:67150258
rs7495132-<b>C</b>,"9 x 10-11",,0.891,1.134,'-,[1.082-1.189],"CRTC3, CRTC3-AS1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,15:90629669
rs7404095-<b>C</b>,"1 x 10-9",,0.572,1.06,'-,[1.03-1.091],PRKCB,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,16:23853269
rs26528-<b>C</b>,"1 x 10-21",,0.451,1.099,'-,[1.067-1.13],IL27,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,16:28506388
rs10521318-<b>C</b>,"1 x 10-9",,0.915,1.155,'-,[1.094-1.219],LINC02132,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,16:85977731
rs12946510-<b>T</b>,"4 x 10-38",,0.465,1.157,'-,[1.124-1.19],"GRB7, IKZF3","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,17:39756124
rs12942547-<b>A</b>,"6 x 10-22",,0.58,1.103,'-,[1.072-1.136],STAT3,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,17:42375526
rs1292053-<b>G</b>,"9 x 10-13",,0.446,1.076,'-,[1.045-1.106],TUBD1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,17:59886176
rs1893217-<b>G</b>,"3 x 10-26",,0.157,1.171,'-,[1.127-1.216],PTPN2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,18:12809341
rs7240004-<b>A</b>,"1 x 10-9",,0.616,1.057,'-,[1.026-1.088],"CTIF, SMAD7","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,18:48868651
rs727088-<b>G</b>,"5 x 10-9",,0.484,1.077,'-,[1.046-1.108],CD226,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,18:69863203
rs11879191-<b>G</b>,"2 x 10-18",,0.797,1.136,'-,[1.096-1.177],CDC37,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,19:10402235
rs17694108-<b>A</b>,"6 x 10-15",,0.282,1.1,'-,[1.065-1.135],"SLC7A10, CEBPA","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,19:33240645
rs11672983-<b>A</b>,"7 x 10-11",,0.392,1.087,'-,[1.055-1.119],"FCAR, RNU6-222P","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,19:54871595
rs6142618-<b>G</b>,"6 x 10-10",,0.564,1.072,'-,[1.041-1.103],TM9SF4,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,20:32137845
rs4911259-<b>G</b>,"1 x 10-9",,0.383,1.075,'-,[1.044-1.106],DNMT3B,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,20:32788476
rs1569723-<b>C</b>,"1 x 10-13",,0.259,1.091,'-,[1.056-1.126],"RPL13P2, CD40","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,20:46113425
rs913678-<b>T</b>,"5 x 10-8",,0.662,1.056,'-,[1.024-1.088],"LINC01271, RN7SL636P","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,20:50338887
rs259964-<b>A</b>,"1 x 10-12",,0.464,1.085,'-,[1.054-1.116],ZNF831,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,20:59249254
rs6062504-<b>G</b>,"1 x 10-23",,0.684,1.104,'-,[1.071-1.139],ZGPAT,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,20:63717555
rs2823286-<b>G</b>,"9 x 10-30",,0.708,1.157,'-,[1.121-1.194],CYCSP42,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,21:15445619
rs1363907-<b>A</b>,"6 x 10-13",,0.411,1.068,'-,[1.037-1.099],ERAP2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,5:96917099
rs11741861-<b>G</b>,"3 x 10-37",,0.093,1.249,'-,[1.186-1.314],"ZNF300, IRGM","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,5:150898347
rs9358372-<b>G</b>,"9 x 10-14",,0.379,1.089,'-,[1.057-1.121],CDKAL1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,6:20812357
rs2790216-<b>G</b>,"8 x 10-9",,0.778,1.066,'-,[1.029-1.104],IPMK,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:58238165
rs10761659-<b>G</b>,"6 x 10-46",,0.543,1.166,'-,[1.134-1.20],ALDH7A1P4,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:62685804
rs2227564-<b>C</b>,"7 x 10-10",,0.77,1.082,'-,[1.048-1.118],"PLAU, C10orf55","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:73913343
rs1250546-<b>A</b>,"3 x 10-18",,0.604,1.096,'-,[1.065-1.128],ZMIZ1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:79272775
rs6586030-<b>G</b>,"9 x 10-16",,0.847,1.115,'-,[1.076-1.156],TSPAN14,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:80494291
rs7911264-<b>C</b>,"3 x 10-8",,0.519,1.066,'-,[1.035-1.097],"EIF2S2P3, HHEX","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:92677094
rs4409764-<b>T</b>,"1 x 10-54",,0.491,1.182,'-,[1.149-1.217],"GOT1, LINC01475","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:99524480
rs907611-<b>A</b>,"3 x 10-10",,0.315,1.068,'-,[1.035-1.101],LSP1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,11:1852842
rs10896794-<b>T</b>,"7 x 10-10",,0.762,1.08,'-,[1.045-1.116],LPXN,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,11:58571651
rs11230563-<b>C</b>,"9 x 10-13",,0.654,1.085,'-,[1.053-1.118],CD6,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,11:61008737
rs4246215-<b>T</b>,"2 x 10-15",,0.338,1.079,'-,[1.046-1.112],"FEN1, FADS2","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,11:61796827
rs559928-<b>C</b>,"4 x 10-11",,0.821,1.101,'-,[1.061-1.142],"LINC02723, RPS6KA4","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,11:64382898
rs2231884-<b>T</b>,"3 x 10-10",,0.157,1.083,'-,[1.044-1.122],"CCDC85B, FIBP","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,11:65889093
rs2155219-<b>T</b>,"4 x 10-36",,0.509,1.151,'-,[1.119-1.185],"LINC02757, EMSY","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,11:76588150
rs6592362-<b>A</b>,"2 x 10-8",,0.248,1.083,'-,[1.049-1.117],PSMA2P1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,11:87414396
rs630923-<b>C</b>,"7 x 10-9",,0.846,1.074,'-,[1.039-1.11],"Y_RNA, CXCR5","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,11:118883644
rs11612508-<b>G</b>,"1 x 10-8",,0.267,1.058,'-,[1.025-1.091],DUSP16,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,12:12504579
rs11168249-<b>C</b>,"8 x 10-9",,0.467,1.054,'-,[1.024-1.084],HDAC7,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,12:47814585
rs7134599-<b>A</b>,"9 x 10-32",,0.378,1.096,'-,[1.064-1.128],IFNG-AS1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,12:68106295
rs941823-<b>C</b>,"2 x 10-14",,0.758,1.071,'-,[1.036-1.107],LINC00598,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,13:40439840
rs9557195-<b>T</b>,"2 x 10-14",,0.772,1.112,'-,[1.075-1.151],"UBAC2, GPR183","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,13:99304368
rs194749-<b>C</b>,"3 x 10-10",,0.226,1.075,'-,[1.039-1.111],"ZFP36L1, MAGOH3P","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,14:68807188
rs3851228-<b>T</b>,"1 x 10-13",,0.073,1.153,'-,[1.089-1.219],TRAF3IP2-AS1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,6:111526988
rs11564258-<b>A</b>,"6 x 10-29",,0.025,1.334,'-,[1.217-1.461],MUC19,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,12:40398498
rs17085007-<b>C</b>,"3 x 10-19",,0.183,1.106,'-,[1.065-1.147],"RPS21P8, FGFR1OP2P1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,13:26957130
rs4899554-<b>C</b>,"3 x 10-8",,0.819,1.083,'-,[1.042-1.125],"RNU4ATAC14P, U2","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,14:75234518
rs529866-<b>C</b>,"2 x 10-16",,0.803,1.124,'-,[1.085-1.166],RMI2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,16:11279463
rs3091316-<b>G</b>,"1 x 10-26",,0.722,1.122,'-,[1.087-1.158],"CCL2, CCL7","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,17:34266955
rs11209026-<b>G</b>,"8 x 10-161",,0.933,2.013,'-,[1.885-2.15],IL23R,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:67240275
rs12103-<b>A</b>,"8 x 10-13",,0.182,1.099,'-,[1.059-1.139],INTS11,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:1312114
rs35675666-<b>G</b>,"1 x 10-15",,0.838,1.112,'-,[1.07-1.156],PARK7,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:7961913
rs12568930-<b>T</b>,"1 x 10-17",,0.821,1.095,'-,[1.054-1.138],"ZBTB40, PPIAP34","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:22375738
rs2651244-<b>G</b>,"2 x 10-8",,0.599,1.015,'-,[0.986-1.044],"CTH, CHORDC1P5","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:70529879
rs4845604-<b>G</b>,"4 x 10-16",,0.857,1.144,'-,[1.098-1.192],RORC,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:151829204
rs670523-<b>A</b>,"6 x 10-11",,0.324,1.06,'-,[1.028-1.092],RIT1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:155908941
rs4656958-<b>G</b>,"7 x 10-9",,0.686,1.061,'-,[1.029-1.094],"ITLN2, ITLN1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:160887174
rs1801274-<b>A</b>,"2 x 10-38",,0.509,1.124,'-,[1.092-1.157],FCGR2A,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:161509955
rs2488389-<b>A</b>,"8 x 10-13",,0.22,1.115,'-,[1.077-1.153],DENND1B,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:197662011
rs7554511-<b>C</b>,"1 x 10-32",,0.725,1.164,'-,[1.128-1.202],INAVA,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:200908434
rs3024505-<b>A</b>,"7 x 10-42",,0.16,1.208,'-,[1.163-1.254],"Y_RNA, IL10","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,1:206766559
rs6545800-<b>T</b>,"6 x 10-16",,0.445,1.109,'-,[1.077-1.141],ADCY3,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:24896016
rs925255-<b>C</b>,"3 x 10-15",,0.557,1.092,'-,[1.061-1.124],FLJ31356,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:28391927
rs10495903-<b>T</b>,"8 x 10-12",,0.13,1.086,'-,[1.041-1.131],THADA,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:43579779
rs7608910-<b>G</b>,"9 x 10-32",,0.394,1.138,'-,[1.105-1.171],PUS10,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:60977721
rs6740462-<b>A</b>,"2 x 10-8",,0.739,1.081,'-,[1.046-1.116],"SPRED2, DNAJB12P1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:65440138
rs917997-<b>T</b>,"3 x 10-20",,0.231,1.103,'-,[1.067-1.14],"IL18RAP, SLC9A4","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:102454108
rs2111485-<b>A</b>,"2 x 10-8",,0.404,1.066,'-,[1.035-1.097],"FAP, IFIH1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:162254026
rs1517352-<b>C</b>,"3 x 10-11",,0.6,1.077,'-,[1.046-1.109],STAT4,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:191066738
rs2382817-<b>A</b>,"4 x 10-12",,0.408,1.073,'-,[1.042-1.104],"PNKD, TMBIM1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:218286495
rs3749171-<b>T</b>,"3 x 10-21",,0.167,1.135,'-,[1.093-1.177],GPR35,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,2:240630275
rs4256159-<b>T</b>,"9 x 10-15",,0.14,1.107,'-,[1.063-1.152],SATB1-AS1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,3:18725912
rs3197999-<b>A</b>,"1 x 10-47",,0.296,1.18,'-,[1.144-1.216],MST1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,3:49684099
rs2472649-<b>G</b>,"3 x 10-8",,0.824,1.095,'-,[1.046-1.146],"CXCL5, PPBP","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,4:73991991
rs7657746-<b>A</b>,"3 x 10-13",,0.753,1.116,'-,[1.08-1.154],KIAA1109,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,4:122240464
rs2930047-<b>C</b>,"1 x 10-8",,0.382,1.065,'-,[1.034-1.096],DAP,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,5:10695414
rs11742570-<b>C</b>,"2 x 10-82",,0.605,1.198,'-,[1.164-1.234],'-,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,5:40410482
rs4836519-<b>T</b>,"4 x 10-10",,0.768,1.072,'-,[1.039-1.106],'-,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,5:130681594
rs2188962-<b>T</b>,"1 x 10-52",,0.425,1.158,'-,[1.125-1.191],IRF1-AS1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,5:132435113
rs6863411-<b>T</b>,"4 x 10-14",,0.63,1.089,'-,[1.057-1.121],NDFIP1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,5:142133639
rs6871626-<b>A</b>,"1 x 10-42",,0.337,1.181,'-,[1.146-1.216],"LINC01845, IL12B","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,5:159399784
rs12654812-<b>A</b>,"2 x 10-8",,0.335,1.068,'-,[1.036-1.10],RGS14,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,5:177367190
rs17119-<b>A</b>,"3 x 10-11",,0.786,1.071,'-,[1.032-1.11],"RNU6-793P, PPIAP9","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,6:14719265
rs1847472-<b>C</b>,"2 x 10-10",,0.655,1.06,'-,[1.029-1.092],BACH2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,6:90263440
rs6568421-<b>G</b>,"8 x 10-20",,0.301,1.108,'-,[1.074-1.142],"RN7SKP211, PRDM1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,6:105987150
rs6920220-<b>A</b>,"1 x 10-21",,0.206,1.102,'-,[1.064-1.141],"BTF3L4P3, LINC02539","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,6:137685367
rs12199775-<b>A</b>,"2 x 10-8",,0.929,1.129,'-,[1.066-1.195],PHACTR2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,6:143577757
rs1819333-<b>T</b>,"7 x 10-21",,0.523,1.081,'-,[1.051-1.113],"RNASET2, MIR3939","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,6:166960059
rs1456896-<b>T</b>,"7 x 10-15",,0.688,1.088,'-,[1.055-1.123],"IKZF1, SPATA48","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,7:50264865
rs9297145-<b>C</b>,"8 x 10-12",,0.265,1.082,'-,[1.047-1.117],"KPNA7, SMURF1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,7:99161494
rs1734907-<b>A</b>,"2 x 10-13",,0.149,1.114,'-,[1.071-1.158],"EPO, POP7","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,7:100717894
rs38904-<b>T</b>,"1 x 10-8",,0.532,1.054,'-,[1.025-1.085],"MTND4P6, ST7","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,7:117252792
rs921720-<b>G</b>,"8 x 10-20",,0.609,1.081,'-,[1.049-1.113],TRIB1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,8:125522429
rs1991866-<b>G</b>,"2 x 10-9",,0.422,1.054,'-,[1.024-1.084],CCDC26,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,8:129611859
rs10758669-<b>C</b>,"8 x 10-45",,0.349,1.174,'-,[1.139-1.209],"HNRNPA1P41, JAK2","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,9:4981602
rs4743820-<b>T</b>,"4 x 10-9",,0.702,1.056,'-,[1.023-1.089],LINC00484,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,9:91166134
rs4246905-<b>C</b>,"3 x 10-32",,0.709,1.142,'-,[1.106-1.178],TNFSF15,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,9:114790969
rs10781499-<b>A</b>,"4 x 10-56",,0.412,1.188,'-,[1.154-1.222],CARD9,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,9:136371953
rs12722515-<b>C</b>,"4 x 10-10",,0.849,1.102,'-,[1.06-1.147],IL2RA,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:6039267
rs1042058-<b>C</b>,"6 x 10-11",,0.592,1.075,'-,[1.044-1.106],MAP3K8,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:30439172
rs11010067-<b>G</b>,"2 x 10-25",,0.346,1.115,'-,[1.082-1.148],"CUL2, LINC02635","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,10:35006503
rs2836878-<b>G</b>,"5 x 10-48",,0.733,1.18,'-,[1.142-1.219],RPL23AP12,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,21:39093608
rs7282490-<b>G</b>,"2 x 10-26",,0.391,1.105,'-,[1.072-1.138],GATD3A,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,21:44195858
rs2266959-<b>T</b>,"1 x 10-16",,0.186,1.105,'-,[1.066-1.145],UBE2L3,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,22:21568615
rs2412970-<b>G</b>,"3 x 10-14",,0.457,1.08,'-,[1.049-1.111],HORMAD2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,22:30090837
rs2413583-<b>C</b>,"4 x 10-33",,0.833,1.209,'-,[1.163-1.257],"RPL3, PDGFB","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST001725,22:39263768
rs957100-<b>G</b>,"9 x 10-9",,0.3963,0.73,'-,'-,"RNU1-150P, TTC33","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST90093115,5:40426318
rs4551125-<b>G</b>,"8 x 10-10",,0.39,0.9,'-,[NR],TTC33,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,5:40438582
rs55722650-<b>C</b>,"5 x 10-9",,0.58,0.9,'-,[NR],"P4HA2, PDLIM4","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,5:132271607
rs148844907-<b>T</b>,"1 x 10-40",,0.99,0.47,'-,[NR],"C6orf47, C6orf47-AS1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,6:31660620
rs142738614-<b>C</b>,"3 x 10-8",,0.55,0.91,'-,[NR],IRF5,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,7:128937861
chr9:5057580-<b>CTTT</b>,"5 x 10-10",,0.56,0.9,'-,[NR],'-,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,"Mapping not available"
rs10761659-<b>A</b>,"1 x 10-11",,0.46,0.89,'-,[NR],ALDH7A1P4,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,10:62685804
rs35788599-<b>G</b>,"3 x 10-11",,0.62,0.89,'-,[NR],IFNG-AS1,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,12:68082969
rs12720356-<b>A</b>,"2 x 10-8",,0.9,0.86,'-,[NR],TYK2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,19:10359299
rs6017342-<b>A</b>,"2 x 10-14",,0.48,0.88,'-,[NR],LINC01620,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,20:44436388
rs1521186-<b>G</b>,"8 x 10-9",,0.55,0.91,'-,NR,RORC,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,1:151812071
chr5:17098189-<b>AT</b>,"1 x 10-8",,0.78,1.13,'-,NR,'-,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,"Mapping not available"
rs73370726-<b>C</b>,"2 x 10-8",,0.9,1.19,'-,NR,MIR4679-2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,10:89093116
rs10188217-<b>T</b>,"4 x 10-8",,0.48,0.91,'-,[NR],PUS10,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,2:60990407
rs13384671-<b>A</b>,"9 x 10-9",,0.69,0.9,'-,[NR],"LINC01934, ITGA4","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,2:181446867
chr5:17098189-<b>AT</b>,"1 x 10-8",,0.78,1.13,'-,[NR],'-,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,"Mapping not available"
rs17264332-<b>A</b>,"3 x 10-9",,0.78,0.89,'-,[NR],"LINC02539, SLC17A1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,6:137684378
rs6961243-<b>G</b>,"5 x 10-9",,0.59,1.11,'-,[NR],"PIGCP2, DLD","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,7:107880959
rs73370726-<b>C</b>,"2 x 10-8",,0.9,1.19,'-,[NR],MIR4679-2,"Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,10:89093116
rs11403745-<b>C</b>,"2 x 10-11",,0.48,1.12,'-,[NR],"LINC01475, GOT1","Inflammatory bowel disease","inflammatory bowel disease",'-,GCST011501,10:99522848
