"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs10993994-<b>T</b>,"7 x 10-13",,0.40,1.16,'-,[1.04-1.29],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST000154,10:46046326
rs4962416-<b>C</b>,"2 x 10-7",,0.27,1.17,'-,[1.05-1.30],CTBP2,"Prostate cancer","prostate carcinoma",'-,GCST000154,10:125008303
rs10896449-<b>G</b>,"2 x 10-9",,0.52,1.1,'-,[0.98-1.23],"MYEOV, SMIM38","Prostate cancer","prostate carcinoma",'-,GCST000154,11:69227200
rs10486567-<b>G</b>,"2 x 10-6",,0.77,1.12,'-,[1.02-1.25],JAZF1,"Prostate cancer","prostate carcinoma",'-,GCST000154,7:27936944
rs6983267-<b>G</b>,"7 x 10-12",,0.53,1.28,'-,[1.15-1.45],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST000154,8:127401060
rs4430796-<b>A</b>,"1 x 10-9",,0.54,1.18,'-,[1.04-1.32],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST000154,17:37738049
rs4242382-<b>A</b>,"3 x 10-19",,0.12,1.66,'-,[1.47-1.87],"CASC11, CASC8","Prostate cancer","prostate carcinoma",'-,GCST000154,8:127505328
rs1447295-<b>A</b>,"2 x 10-14",,0.11,1.43,'-,[1.29-1.59],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST000017,8:127472793
rs6983267-<b>G</b>,"9 x 10-13",,0.50,1.26,'-,[1.13-1.41],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST000017,8:127401060
rs1859962-<b>G</b>,"3 x 10-10",,0.46,1.2,'-,[1.14-1.27],CASC17,"Prostate cancer","prostate carcinoma",'-,GCST000050,17:71112612
rs4430796-<b>A</b>,"1 x 10-11",,0.49,1.22,'-,[1.15-1.30],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST000050,17:37738049
rs11199874-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,LINC01153,"Prostate cancer","prostate carcinoma",'-,GCST001338,10:121273005
rs4775302-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,MTND5P40,"Prostate cancer","prostate carcinoma",'-,GCST001338,15:46347610
rs7837688-<b>?</b>,"1 x 10-25",,NR,'-,'-,'-,CASC8,"Prostate cancer","prostate carcinoma",'-,GCST000750,8:127527115
rs1456315-<b>?</b>,"2 x 10-29",,NR,'-,'-,'-,"PCAT1, CASC19, PRNCR1","Prostate cancer","prostate carcinoma",'-,GCST000750,8:127091692
rs13385191-<b>G</b>,"8 x 10-8",,0.44,1.15,'-,[1.10-1.21],LDAH,"Prostate cancer","prostate carcinoma",'-,GCST000750,2:20688505
rs339331-<b>T</b>,"2 x 10-12",,0.37,1.22,'-,[1.15-1.28],RFX6,"Prostate cancer","prostate carcinoma",'-,GCST000750,6:116888889
rs9600079-<b>T</b>,"3 x 10-9",,0.38,1.18,'-,[1.12-1.24],"RNU6-66P, RNU4-10P","Prostate cancer","prostate carcinoma",'-,GCST000750,13:73154002
rs9284813-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,LINC00506,"Prostate cancer","prostate carcinoma",'-,GCST000750,3:87103019
rs1512268-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,"SINHCAFP3, NKX3-1","Prostate cancer","prostate carcinoma",'-,GCST000750,8:23668950
rs10993994-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,MSMB,"Prostate cancer","prostate carcinoma",'-,GCST000750,10:46046326
rs7501939-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST000750,17:37741165
rs12653946-<b>T</b>,"4 x 10-18",,0.44,1.26,'-,[1.20-1.33],CTD-2194D22.4,"Prostate cancer","prostate carcinoma",'-,GCST000750,5:1895715
rs1983891-<b>T</b>,"8 x 10-8",,0.41,1.15,'-,[1.09-1.21],FOXP4,"Prostate cancer","prostate carcinoma",'-,GCST000750,6:41568689
rs11672691-<b>G</b>,"1 x 10-8",(Aggressive),NR,1.11,'-,[1.02-1.20],PCAT19,"Prostate cancer","prostate carcinoma",'-,GCST001714,19:41479679
rs11672691-<b>G</b>,"2 x 10-12",(All),NR,1.08,'-,[1.04-1.12],PCAT19,"Prostate cancer","prostate carcinoma",'-,GCST001714,19:41479679
rs11704416-<b>C</b>,"4 x 10-6",(Aggressive),NR,1.05,'-,[0.96-1.15],FAM83F,"Prostate cancer","prostate carcinoma",'-,GCST001714,22:40040969
rs11704416-<b>C</b>,"4 x 10-7",(All),NR,1.06,'-,[1.02-1.10],FAM83F,"Prostate cancer","prostate carcinoma",'-,GCST001714,22:40040969
rs6465657-<b>C</b>,"1 x 10-9",,0.46,1.12,'-,[1.05-1.20],LMTK2,"Prostate cancer","prostate carcinoma",'-,GCST000152,7:98187015
rs10993994-<b>T</b>,"9 x 10-29",,0.40,1.25,'-,[1.17-1.34],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST000152,10:46046326
rs2735839-<b>G</b>,"2 x 10-18",,0.85,1.2,'-,[1.10-1.33],"KLK2, KLK3","Prostate cancer","prostate carcinoma",'-,GCST000152,19:50861367
rs1016343-<b>T</b>,"1 x 10-7",,0.18,1.37,'-,[NR],"PRNCR1, PCAT1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST000152,8:127081052
rs1859962-<b>G</b>,"1 x 10-6",,0.46,1.26,'-,[NR],CASC17,"Prostate cancer","prostate carcinoma",'-,GCST000152,17:71112612
rs2660753-<b>T</b>,"3 x 10-8",,0.11,1.18,'-,[1.06-1.31],"LINC00506, PPATP1","Prostate cancer","prostate carcinoma",'-,GCST000152,3:87061524
rs9364554-<b>T</b>,"6 x 10-10",,0.29,1.17,'-,[1.08-1.26],SLC22A3,"Prostate cancer","prostate carcinoma",'-,GCST000152,6:160412632
rs7931342-<b>G</b>,"2 x 10-12",,0.51,1.19,'-,[1.11-1.27],"SMIM38, MYEOV","Prostate cancer","prostate carcinoma",'-,GCST000152,11:69227030
rs6983267-<b>G</b>,"9 x 10-13",,0.49,1.42,'-,[NR],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST000152,8:127401060
rs4242384-<b>C</b>,"3 x 10-16",,0.09,1.88,'-,[NR],"CASC8, CASC11","Prostate cancer","prostate carcinoma",'-,GCST000152,8:127506309
rs7501939-<b>C</b>,"9 x 10-12",,0.57,1.41,'-,[NR],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST000152,17:37741165
rs5945619-<b>C</b>,"2 x 10-9",,0.36,1.19,'-,[1.07-1.31],LINC01496,"Prostate cancer","prostate carcinoma",'-,GCST000152,X:51498820
rs6983267-<b>G</b>,"4 x 10-15",,'-,'-,"0.29 unit increase",[0.22-0.36],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST002421,8:127401060
rs10993994-<b>T</b>,"3 x 10-26",,'-,'-,"0.4 unit increase",[0.33-0.47],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST002421,10:46046326
rs4793529-<b>T</b>,"2 x 10-13",,'-,'-,"0.28 unit increase",[0.20-0.35],CASC17,"Prostate cancer","prostate carcinoma",'-,GCST002421,17:71122495
rs17632542-<b>T</b>,"2 x 10-28",,'-,'-,"0.73 unit increase",[0.60-0.86],KLK3,"Prostate cancer","prostate carcinoma",'-,GCST002421,19:50858501
rs12682344-<b>G</b>,"5 x 10-12",,'-,'-,"0.67 unit increase",[0.48-0.86],"CASC19, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST002421,8:127094539
rs1447295-<b>A</b>,"6 x 10-18",,'-,'-,"0.51 unit increase",[0.40-0.63],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST002421,8:127472793
rs10936632-<b>A</b>,"7 x 10-22",,0.52,1.11,'-,[1.08-1.14],"SKIL, CLDN11","Prostate cancer","prostate carcinoma",'-,GCST001148,3:170412314
rs2242652-<b>G</b>,"3 x 10-24",,0.81,1.15,'-,[1.11-1.19],TERT,"Prostate cancer","prostate carcinoma",'-,GCST001148,5:1279913
rs5919432-<b>A</b>,"1 x 10-8",,0.81,1.06,'-,[1.02-1.12],BMI1P1,"Prostate cancer","prostate carcinoma",'-,GCST001148,X:67801708
rs10187424-<b>A</b>,"3 x 10-15",,0.59,1.09,'-,[1.06-1.12],VAMP8,"Prostate cancer","prostate carcinoma",'-,GCST001148,2:85567174
rs7584330-<b>C</b>,"3 x 10-9",,0.22,1.06,'-,[1.02-1.09],"COL6A3, MLPH","Prostate cancer","prostate carcinoma",'-,GCST001148,2:237478585
rs6763931-<b>T</b>,"2 x 10-8",,0.45,1.04,'-,[1.01-1.07],ZBTB38,"Prostate cancer","prostate carcinoma",'-,GCST001148,3:141383991
rs2121875-<b>G</b>,"4 x 10-8",,0.34,1.05,'-,[1.02-1.08],FGF10,"Prostate cancer","prostate carcinoma",'-,GCST001148,5:44365443
rs130067-<b>G</b>,"3 x 10-8",,0.21,1.05,'-,[1.02-1.09],CCHCR1,"Prostate cancer","prostate carcinoma",'-,GCST001148,6:31150734
rs10875943-<b>C</b>,"7 x 10-12",,0.31,1.07,'-,[1.04-1.10],"TROAP-AS1, TUBA1C","Prostate cancer","prostate carcinoma",'-,GCST001148,12:49282227
rs9623117-<b>C</b>,"5 x 10-7",,0.21,1.18,'-,[1.11-1.26],TNRC6B,"Prostate cancer","prostate carcinoma",'-,GCST000307,22:40056115
rs2659124-<b>T</b>,"1 x 10-13",,0.854,1.18,'-,[1.13-1.24],"KLK3, KLK15","Prostate cancer","prostate carcinoma",'-,GCST002944,19:50851341
rs116041037-<b>A</b>,"6 x 10-10","(African American)",1.0E-4,2.67,'-,[1.96-3.64],"CASC19, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127119564
rs142463603-<b>A</b>,"4 x 10-16",,0.417,1.18,'-,[1.13-1.22],"NKX3-1, SINHCAFP3","Prostate cancer","prostate carcinoma",'-,GCST002944,8:23649749
rs11986220-<b>A</b>,"4 x 10-45",,0.099,1.54,'-,[1.45-1.63],"CASC11, CASC8","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127519444
rs10993994-<b>T</b>,"7 x 10-21",,0.401,1.21,'-,[1.16-1.25],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST002944,10:46046326
rs2735839-<b>G</b>,"2 x 10-8",(European),0.85,1.2,'-,[1.13-1.28],"KLK2, KLK3","Prostate cancer","prostate carcinoma",'-,GCST002944,19:50861367
rs17599629-<b>G</b>,"1 x 10-6",(European),0.21,1.14,'-,[1.08-1.20],GOLPH3L,"Prostate cancer","prostate carcinoma",'-,GCST002944,1:150685811
rs10187424-<b>A</b>,"5 x 10-6",(European),0.58,1.11,'-,[1.06-1.16],VAMP8,"Prostate cancer","prostate carcinoma",'-,GCST002944,2:85567174
rs10486567-<b>G</b>,"3 x 10-9",(European),0.77,1.17,'-,[1.11-1.23],JAZF1,"Prostate cancer","prostate carcinoma",'-,GCST002944,7:27936944
rs1512268-<b>A</b>,"2 x 10-12",(European),0.43,1.17,'-,[1.12-1.22],"SINHCAFP3, NKX3-1","Prostate cancer","prostate carcinoma",'-,GCST002944,8:23668950
rs10086908-<b>T</b>,"2 x 10-10",(European),0.71,1.17,'-,[1.12-1.23],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST002944,8:126999692
rs11263763-<b>A</b>,"5 x 10-24",,0.519,1.22,'-,[1.18-1.28],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST002944,17:37743574
rs16902104-<b>T</b>,"5 x 10-10",(European),0.14,1.21,'-,[1.14-1.28],"CASC8, POU5F1B, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127328663
rs6983267-<b>G</b>,"3 x 10-24",(European),0.51,1.25,'-,[1.20-1.31],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127401060
rs11986220-<b>A</b>,"2 x 10-40",(European),0.099,1.56,'-,[1.46-1.67],"CASC11, CASC8","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127519444
rs10896449-<b>G</b>,"8 x 10-18",(European),0.52,1.21,'-,[1.16-1.26],"MYEOV, SMIM38","Prostate cancer","prostate carcinoma",'-,GCST002944,11:69227200
rs902774-<b>A</b>,"1 x 10-7",(European),0.15,1.17,'-,[1.11-1.24],"RPL7P41, KRT78","Prostate cancer","prostate carcinoma",'-,GCST002944,12:52880120
rs902774-<b>A</b>,"9 x 10-8",,0.15,1.16,'-,[1.10-1.23],"RPL7P41, KRT78","Prostate cancer","prostate carcinoma",'-,GCST002944,12:52880120
rs1859962-<b>G</b>,"8 x 10-9",(European),0.48,1.13,'-,[1.09-1.18],CASC17,"Prostate cancer","prostate carcinoma",'-,GCST002944,17:71112612
rs5759167-<b>G</b>,"5 x 10-9",(European),0.51,1.14,'-,[1.09-1.19],"TTLL1, BIK","Prostate cancer","prostate carcinoma",'-,GCST002944,22:43104206
rs1859962-<b>G</b>,"2 x 10-9",,0.48,1.13,'-,[1.08-1.17],CASC17,"Prostate cancer","prostate carcinoma",'-,GCST002944,17:71112612
rs339331-<b>T</b>,"6 x 10-7",,0.71,1.12,'-,[1.07-1.17],RFX6,"Prostate cancer","prostate carcinoma",'-,GCST002944,6:116888889
rs10486567-<b>G</b>,"3 x 10-11",,0.77,1.17,'-,[1.12-1.22],JAZF1,"Prostate cancer","prostate carcinoma",'-,GCST002944,7:27936944
rs1512268-<b>A</b>,"4 x 10-15",,0.43,1.17,'-,[1.12-1.22],"SINHCAFP3, NKX3-1","Prostate cancer","prostate carcinoma",'-,GCST002944,8:23668950
rs16902104-<b>T</b>,"1 x 10-9",,0.14,1.18,'-,[1.12-1.25],"CASC8, POU5F1B, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127328663
rs17599629-<b>G</b>,"9 x 10-6",,0.21,1.12,'-,[1.06-1.17],GOLPH3L,"Prostate cancer","prostate carcinoma",'-,GCST002944,1:150685811
rs10187424-<b>A</b>,"3 x 10-9",,0.58,1.13,'-,[1.08-1.17],VAMP8,"Prostate cancer","prostate carcinoma",'-,GCST002944,2:85567174
rs7679673-<b>C</b>,"5 x 10-8",,0.59,1.12,'-,[1.07-1.16],"RNU6-351P, TET2","Prostate cancer","prostate carcinoma",'-,GCST002944,4:105140377
rs10086908-<b>T</b>,"2 x 10-12",,0.71,1.17,'-,[1.12-1.22],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST002944,8:126999692
rs1016343-<b>T</b>,"6 x 10-21",,0.21,1.25,'-,[1.19-1.30],"PRNCR1, PCAT1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127081052
rs13252298-<b>A</b>,"2 x 10-6",,0.71,1.11,'-,[1.06-1.16],"PCAT1, PRNCR1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127082911
rs3731827-<b>T</b>,"1 x 10-9",,0.584,1.13,'-,[1.09-1.18],VAMP8,"Prostate cancer","prostate carcinoma",'-,GCST002944,2:85578945
rs7808935-<b>T</b>,"3 x 10-11",,0.766,1.17,'-,[1.12-1.22],JAZF1,"Prostate cancer","prostate carcinoma",'-,GCST002944,7:27937744
rs77541621-<b>A</b>,"2 x 10-26","(conditioned, EA)",0.022,2.0408163,'-,[1.79-2.33],PCAT1,"Prostate cancer","prostate carcinoma",'-,GCST002944,8:127064901
rs72725879-<b>T</b>,"3 x 10-8","(conditioned, East Asian)",0.667,1.92,'-,[1.54-2.44],"PCAT1, PRNCR1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127091724
rs11986220-<b>A</b>,"9 x 10-7","(East Asian)",0.14,1.83,'-,[1.44-2.33],"CASC11, CASC8","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127519444
rs339331-<b>T</b>,"1 x 10-6",(European),0.71,1.13,'-,[1.07-1.18],RFX6,"Prostate cancer","prostate carcinoma",'-,GCST002944,6:116888889
rs10875943-<b>C</b>,"2 x 10-6",(European),0.29,1.12,'-,[1.07-1.18],"TROAP-AS1, TUBA1C","Prostate cancer","prostate carcinoma",'-,GCST002944,12:49282227
rs376592364-<b>T</b>,"6 x 10-20",,0.52,1.2,'-,[1.16-1.25],"MYEOV, SMIM38","Prostate cancer","prostate carcinoma",'-,GCST002944,11:69244226
12:49672714-<b>G</b>,"8 x 10-9",,0.254,1.14,'-,[1.09-1.19],'-,"Prostate cancer","prostate carcinoma",'-,GCST002944,"Mapping not available"
12:53309584-<b>A</b>,"2 x 10-14",,0.122,1.25,'-,[1.18-1.33],'-,"Prostate cancer","prostate carcinoma",'-,GCST002944,"Mapping not available"
rs1016343-<b>T</b>,"5 x 10-21",(European),0.21,1.28,'-,[1.21-1.34],"PRNCR1, PCAT1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127081052
rs6983561-<b>C</b>,"5 x 10-19",(European),0.035,1.61,'-,[1.45-1.78],"CASC19, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127094635
rs8071558-<b>C</b>,"7 x 10-11",,0.483,1.14,'-,[1.09-1.18],CASC17,"Prostate cancer","prostate carcinoma",'-,GCST002944,17:71111532
rs5759167-<b>G</b>,"2 x 10-9",,0.505,1.13,'-,[1.09-1.18],"TTLL1, BIK","Prostate cancer","prostate carcinoma",'-,GCST002944,22:43104206
rs10896449-<b>G</b>,"5 x 10-19",,0.52,1.2,'-,[1.15-1.24],"MYEOV, SMIM38","Prostate cancer","prostate carcinoma",'-,GCST002944,11:69227200
rs7501939-<b>C</b>,"1 x 10-14",(European),0.6,1.19,'-,[1.14-1.24],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST002944,17:37741165
rs7501939-<b>C</b>,"4 x 10-15",,0.6,1.17,'-,[1.13-1.22],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST002944,17:37741165
rs10993994-<b>T</b>,"3 x 10-18",(European),0.4,1.21,'-,[1.16-1.26],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST002944,10:46046326
rs11649743-<b>G</b>,"1 x 10-6",(European),0.81,1.15,'-,[1.09-1.22],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST002944,17:37714971
rs6983561-<b>C</b>,"6 x 10-22",,0.035,1.45,'-,[1.34-1.56],"CASC19, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127094635
rs6983267-<b>G</b>,"3 x 10-27",,0.51,1.25,'-,[1.20-1.30],"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST002944,8:127401060
rs10875943-<b>C</b>,"7 x 10-8",,0.29,1.12,'-,[1.08-1.17],"TROAP-AS1, TUBA1C","Prostate cancer","prostate carcinoma",'-,GCST002944,12:49282227
rs11649743-<b>G</b>,"6 x 10-7",,0.81,1.14,'-,[1.08-1.20],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST002944,17:37714971
rs2735839-<b>G</b>,"6 x 10-9",,0.85,1.17,'-,[1.11-1.24],"KLK2, KLK3","Prostate cancer","prostate carcinoma",'-,GCST002944,19:50861367
rs4646284-<b>TG</b>,"1 x 10-19",,0.298,1.18,'-,[1.14-1.22],"SLC22A2, SLC22A1","Prostate cancer","prostate carcinoma",'-,GCST002944,6:160160512
rs9364554-<b>T</b>,"6 x 10-12",,0.279,1.14,'-,[1.10-1.18],SLC22A3,"Prostate cancer","prostate carcinoma",'-,GCST002944,6:160412632
rs58262369-<b>T</b>,"6 x 10-10",,0.072,1.28,'-,[NR],ESR2,"Prostate cancer","prostate carcinoma",'-,GCST003148,14:64227194
rs13385191-<b>G</b>,"5 x 10-6",,NR,1.17,'-,[NR],LDAH,"Prostate cancer","prostate carcinoma",'-,GCST003148,2:20688505
rs2660753-<b>T</b>,"6 x 10-6",,NR,1.1904762,'-,[NR],"LINC00506, PPATP1","Prostate cancer","prostate carcinoma",'-,GCST003148,3:87061524
rs12653946-<b>A</b>,"2 x 10-12",,NR,1.2820514,'-,[NR],CTD-2194D22.4,"Prostate cancer","prostate carcinoma",'-,GCST003148,5:1895715
rs339331-<b>T</b>,"4 x 10-11",,NR,1.2820514,'-,[NR],RFX6,"Prostate cancer","prostate carcinoma",'-,GCST003148,6:116888889
rs1512268-<b>T</b>,"1 x 10-13",,NR,1.3157895,'-,[NR],"SINHCAFP3, NKX3-1","Prostate cancer","prostate carcinoma",'-,GCST003148,8:23668950
rs16901979-<b>A</b>,"1 x 10-16",,NR,1.3888888,'-,[NR],"CASC19, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST003148,8:127112671
rs1447295-<b>A</b>,"4 x 10-23",,NR,1.5384616,'-,[NR],CASC8,"Prostate cancer","prostate carcinoma",'-,GCST003148,8:127472793
rs10993994-<b>T</b>,"4 x 10-8",,NR,1.2048193,'-,[NR],MSMB,"Prostate cancer","prostate carcinoma",'-,GCST003148,10:46046326
rs9600079-<b>T</b>,"1 x 10-6",,NR,1.1904762,'-,[NR],"RNU6-66P, RNU4-10P","Prostate cancer","prostate carcinoma",'-,GCST003148,13:73154002
rs4430796-<b>A</b>,"6 x 10-8",,NR,1.2345679,'-,[NR],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST003148,17:37738049
rs4749884-<b>C</b>,"7 x 10-6",,0.533,1.12,'-,[NR],'-,"Prostate cancer","prostate carcinoma",'-,GCST003148,10:9602837
rs12791447-<b>C</b>,"4 x 10-8",,0.136,1.23,'-,[NR],PPFIBP2,"Prostate cancer","prostate carcinoma",'-,GCST003148,11:7535346
rs75718479-<b>C</b>,"1 x 10-6",,0.877,1.22,'-,[NR],RMST,"Prostate cancer","prostate carcinoma",'-,GCST003148,12:97483128
kgp1923988-<b>C</b>,"3 x 10-8",,0.192,1.41,'-,[1.25-1.59],'-,"Prostate cancer","prostate carcinoma",'-,GCST003586,"Mapping not available"
rs3123636-<b>C</b>,"3 x 10-9",,0.356,1.37,'-,[1.23-1.51],SLC22A3,"Prostate cancer","prostate carcinoma",'-,GCST003586,6:160421505
kgp9645322-<b>A</b>,"8 x 10-10",,0.044,2.39,'-,[1.81-3.16],'-,"Prostate cancer","prostate carcinoma",'-,GCST003586,"Mapping not available"
rs10763567-<b>A</b>,"6 x 10-10",,0.489,1.31,'-,[1.19-1.44],"MSMB, RPL23AP61","Prostate cancer","prostate carcinoma",'-,GCST003586,10:46057653
rs12270641-<b>T</b>,"1 x 10-11",,0.45,1.4,'-,[1.27-1.55],"SMIM38, MYEOV","Prostate cancer","prostate carcinoma",'-,GCST003586,11:69244777
rs11651052-<b>A</b>,"3 x 10-10",,0.435,1.37,'-,[1.24-1.51],HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST003586,17:37742390
rs56005245-<b>T</b>,"1 x 10-8",,0.225,1.41,'-,[1.25-1.59],"PCAT1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST003586,8:127101181
rs138042437-<b>G</b>,"2 x 10-8",,0.015,13.25,'-,[5.37-32.69],"PCAT1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST003586,8:127196124
rs4506170-<b>C</b>,"2 x 10-9",,0.166,1.51,'-,[1.32-1.73],"PCAT1, CASC8","Prostate cancer","prostate carcinoma",'-,GCST003586,8:127311646
rs2847344-<b>A</b>,"1 x 10-8",,NR,1.041,'-,[1.03-1.06],PEX14,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:10504618
rs10803412-<b>C</b>,"6 x 10-9",,NR,1.053,'-,[1.03-1.07],CLCNKB,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:16050336
rs544780844-<b>T</b>,"2 x 10-10",,NR,1.065,'-,[1.04-1.09],"MAST2, IPP","Prostate cancer","prostate carcinoma",'-,GCST011049,1:45785983
rs56391074-<b>AT</b>,"5 x 10-10",,NR,1.045,'-,[1.03-1.06],PKN2-AS1,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:87745033
rs1811698-<b>C</b>,"3 x 10-14",,NR,1.077,'-,[1.06-1.10],CTSK,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:150800137
rs607518-<b>A</b>,"8 x 10-12",,NR,1.063,'-,[1.04-1.08],"CERS2, ANXA9","Prostate cancer","prostate carcinoma",'-,GCST011049,1:150982195
rs10127983-<b>T</b>,"1 x 10-19",,NR,1.066,'-,[1.05-1.08],CRTC2,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:153950800
rs56103503-<b>T</b>,"2 x 10-14",,NR,1.058,'-,[1.04-1.07],ZBTB7B,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:155007875
rs147847496-<b>C</b>,"5 x 10-11",,NR,1.165,'-,[1.11-1.22],"HMGN2P18, DPM3","Prostate cancer","prostate carcinoma",'-,GCST011049,1:155146112
rs184104770-<b>A</b>,"4 x 10-8",,NR,1.172,'-,[1.11-1.24],DAP3,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:155720395
rs80237341-<b>C</b>,"1 x 10-11",,NR,1.147,'-,[1.10-1.19],ETV3,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:157150123
rs6660538-<b>A</b>,"9 x 10-9",,NR,1.041,'-,[1.03-1.06],NUF2,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:163325888
rs4075646-<b>T</b>,"3 x 10-8",,NR,1.068,'-,[1.04-1.09],"LINC01363, GPA33","Prostate cancer","prostate carcinoma",'-,GCST011049,1:167166704
rs507603-<b>A</b>,"2 x 10-8",,NR,1.048,'-,[1.03-1.07],"CEP350, TOR1AIP1","Prostate cancer","prostate carcinoma",'-,GCST011049,1:179927935
rs34295433-<b>CTAAG</b>,"1 x 10-8",,NR,1.041,'-,[1.03-1.05],LAMC1,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:183063313
rs138638958-<b>TTTTG</b>,"2 x 10-10",,NR,1.045,'-,[1.03-1.06],"LINC00303, SOX13","Prostate cancer","prostate carcinoma",'-,GCST011049,1:204061235
rs4245739-<b>A</b>,"2 x 10-29",,NR,1.092,'-,[1.08-1.11],MDM4,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:204549714
rs708723-<b>C</b>,"5 x 10-14",,NR,1.05,'-,[1.04-1.06],RAB29,"Prostate cancer","prostate carcinoma",'-,GCST011049,1:205770138
rs11686272-<b>T</b>,"7 x 10-9",,NR,1.042,'-,[1.03-1.06],LINC00299,"Prostate cancer","prostate carcinoma",'-,GCST011049,2:8458314
rs73913932-<b>G</b>,"6 x 10-10",,NR,1.08,'-,[1.05-1.11],GRHL1,"Prostate cancer","prostate carcinoma",'-,GCST011049,2:9954397
rs1990613-<b>T</b>,"5 x 10-19",,NR,1.061,'-,[1.05-1.07],NOL10,"Prostate cancer","prostate carcinoma",'-,GCST011049,2:10641849
rs7602028-<b>C</b>,"1 x 10-13",,NR,1.058,'-,[1.04-1.07],"RPLP1P5, MYCNOS","Prostate cancer","prostate carcinoma",'-,GCST011049,2:15876379
rs9306894-<b>G</b>,"9 x 10-33",,NR,1.086,'-,[1.07-1.10],GDF7,"Prostate cancer","prostate carcinoma",'-,GCST011049,2:20678345
rs6738169-<b>C</b>,"6 x 10-9",,NR,1.043,'-,[1.03-1.06],CHORDC1P1,"Prostate cancer","prostate carcinoma",'-,GCST011049,2:42837415
rs7591218-<b>A</b>,"2 x 10-19",,NR,1.068,'-,[1.05-1.08],THADA,"Prostate cancer","prostate carcinoma",'-,GCST011049,2:43410859
rs28514770-<b>C</b>,"3 x 10-9",,NR,1.047,'-,[1.03-1.06],"PLEKHH2, Y_RNA","Prostate cancer","prostate carcinoma",'-,GCST011049,2:43624143
