"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs6439649-<b>G</b>,"2 x 10-9",,NR,'-,"0.01432 unit decrease",NR,STAG1,"Sensitivity to environmental stress and adversity","neuroticism measurement",'-,GCST010123,3:136652849
rs11167957-<b>C</b>,"4 x 10-8",,NR,'-,"0.01324 unit decrease",NR,PPP2R2B,"Sensitivity to environmental stress and adversity","neuroticism measurement",'-,GCST010123,5:147056960
rs10476484-<b>G</b>,"2 x 10-8",,NR,'-,"0.01476 unit increase",NR,RNU6-209P,"Sensitivity to environmental stress and adversity","neuroticism measurement",'-,GCST010123,5:165011258
rs9462364-<b>A</b>,"9 x 10-9",,NR,'-,"0.01348 unit decrease",NR,HIVEP1,"Sensitivity to environmental stress and adversity","neuroticism measurement",'-,GCST010123,6:11996817
rs9366697-<b>C</b>,"2 x 10-8",,NR,'-,"0.01363 unit decrease",NR,"LINC01012, RPL8P1","Sensitivity to environmental stress and adversity","neuroticism measurement",'-,GCST010123,6:27665239
rs6941112-<b>A</b>,"6 x 10-12",,NR,'-,"0.01765 unit increase",NR,STK19,"Sensitivity to environmental stress and adversity","neuroticism measurement",'-,GCST010123,6:31978837
rs11665070-<b>G</b>,"5 x 10-18",,NR,'-,"0.02149 unit increase",NR,"CELF4, MIR4318","Sensitivity to environmental stress and adversity","neuroticism measurement",'-,GCST010123,18:37572600
rs11090045-<b>A</b>,"6 x 10-9",,NR,'-,"0.01507 unit increase",NR,ZC3H7B,"Sensitivity to environmental stress and adversity","neuroticism measurement",'-,GCST010123,22:41357599
rs11090045-<b>?</b>,"3 x 10-12",,NR,'-,'-,'-,ZC3H7B,Neuroticism,"neuroticism measurement",'-,GCST007084,22:41357599
rs716508-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,RBFOX1,Neuroticism,"neuroticism measurement",'-,GCST007084,16:6286911
rs3785232-<b>?</b>,"5 x 10-12",,NR,'-,'-,'-,RBFOX1,Neuroticism,"neuroticism measurement",'-,GCST007084,16:7617536
rs12926477-<b>?</b>,"7 x 10-8",,NR,'-,'-,'-,SHISA9,Neuroticism,"neuroticism measurement",'-,GCST007084,16:13003349
rs2199036-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,'-,Neuroticism,"neuroticism measurement",'-,GCST007084,"Mapping not available"
rs1362546-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,TOX3,Neuroticism,"neuroticism measurement",'-,GCST007084,16:52516023
rs113199002-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"VN2R10P, SYCE1L",Neuroticism,"neuroticism measurement",'-,GCST007084,16:77215247
rs3748400-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,ZCCHC14,Neuroticism,"neuroticism measurement",'-,GCST007084,16:87412233
rs1673931-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,CBFA2T3,Neuroticism,"neuroticism measurement",'-,GCST007084,16:88910069
rs12938775-<b>?</b>,"6 x 10-11",,NR,'-,'-,'-,PAFAH1B1,Neuroticism,"neuroticism measurement",'-,GCST007084,17:2671527
rs6503091-<b>?</b>,"8 x 10-9",,NR,'-,'-,'-,AURKB,Neuroticism,"neuroticism measurement",'-,GCST007084,17:8206280
rs12601333-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,MED24,Neuroticism,"neuroticism measurement",'-,GCST007084,17:40057566
rs17652520-<b>?</b>,"2 x 10-27",,NR,'-,'-,'-,MAPT,Neuroticism,"neuroticism measurement",'-,GCST007084,17:46021601
rs9908167-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,PRKCA,Neuroticism,"neuroticism measurement",'-,GCST007084,17:66536939
rs4969386-<b>?</b>,"3 x 10-13",,NR,'-,'-,'-,BAIAP2,Neuroticism,"neuroticism measurement",'-,GCST007084,17:81102976
rs2938676-<b>?</b>,"7 x 10-8",,NR,'-,'-,'-,SS18,Neuroticism,"neuroticism measurement",'-,GCST007084,18:25957085
rs11876492-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,"NOL4, ASXL3",Neuroticism,"neuroticism measurement",'-,GCST007084,18:33833840
rs11665070-<b>?</b>,"2 x 10-18",,NR,'-,'-,'-,"CELF4, MIR4318",Neuroticism,"neuroticism measurement",'-,GCST007084,18:37572600
rs28698732-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,DCC,Neuroticism,"neuroticism measurement",'-,GCST007084,18:52409437
rs8084280-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,DCC,Neuroticism,"neuroticism measurement",'-,GCST007084,18:53200379
rs7235757-<b>?</b>,"7 x 10-15",,NR,'-,'-,'-,TCF4,Neuroticism,"neuroticism measurement",'-,GCST007084,18:55400723
rs7231247-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,CDH7,Neuroticism,"neuroticism measurement",'-,GCST007084,18:65876109
rs12463001-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,CCDC61,Neuroticism,"neuroticism measurement",'-,GCST007084,19:45995781
rs3736775-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,SEC23B,Neuroticism,"neuroticism measurement",'-,GCST007084,20:18548589
rs2425752-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,NCOA5,Neuroticism,"neuroticism measurement",'-,GCST007084,20:46073481
rs910187-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,ZMYND8,Neuroticism,"neuroticism measurement",'-,GCST007084,20:47212407
rs7696796-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,TENM3,Neuroticism,"neuroticism measurement",'-,GCST007084,4:182245316
rs16903275-<b>?</b>,"6 x 10-11",,NR,'-,'-,'-,LINC00461,Neuroticism,"neuroticism measurement",'-,GCST007084,5:88654725
rs502652-<b>?</b>,"9 x 10-8",,NR,'-,'-,'-,'-,Neuroticism,"neuroticism measurement",'-,GCST007084,5:101043608
rs10045508-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,"FBXL17, SEMA6A",Neuroticism,"neuroticism measurement",'-,GCST007084,5:108386448
rs10476484-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,RNU6-209P,Neuroticism,"neuroticism measurement",'-,GCST007084,5:165011258
rs10456089-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,"HIVEP1, AMD1P4",Neuroticism,"neuroticism measurement",'-,GCST007084,6:11959603
rs9341575-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,RNU6-261P,Neuroticism,"neuroticism measurement",'-,GCST007084,6:76427880
rs9320505-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,"MMS22L, LINC02523",Neuroticism,"neuroticism measurement",'-,GCST007084,6:97301456
rs6916891-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,MIR2113,Neuroticism,"neuroticism measurement",'-,GCST007084,6:98009719
rs240788-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,ASCC3,Neuroticism,"neuroticism measurement",'-,GCST007084,6:100536230
rs11759026-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"MIR588, CENPW",Neuroticism,"neuroticism measurement",'-,GCST007084,6:126470949
rs872576-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,EPB41L2,Neuroticism,"neuroticism measurement",'-,GCST007084,6:130846909
rs56226325-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,MAD1L1,Neuroticism,"neuroticism measurement",'-,GCST007084,7:2039346
rs59970005-<b>?</b>,"6 x 10-10",,NR,'-,'-,'-,SEMA3E,Neuroticism,"neuroticism measurement",'-,GCST007084,7:83312547
rs274640-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,GRM3,Neuroticism,"neuroticism measurement",'-,GCST007084,7:86627700
rs13239186-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,CTTNBP2,Neuroticism,"neuroticism measurement",'-,GCST007084,7:117870567
rs4731328-<b>?</b>,"3 x 10-12",,NR,'-,'-,'-,GRM8,Neuroticism,"neuroticism measurement",'-,GCST007084,7:126739436
rs34021161-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,INSIG1-DT,Neuroticism,"neuroticism measurement",'-,GCST007084,7:155294956
rs2407746-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,"SNORA70, CSMD1",Neuroticism,"neuroticism measurement",'-,GCST007084,8:5080235
rs17151565-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,MSRA,Neuroticism,"neuroticism measurement",'-,GCST007084,8:10276199
rs4072355-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,LONRF1,Neuroticism,"neuroticism measurement",'-,GCST007084,8:12737789
rs28639817-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,SGCZ,Neuroticism,"neuroticism measurement",'-,GCST007084,8:14293898
rs7841297-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,CYP7B1,Neuroticism,"neuroticism measurement",'-,GCST007084,8:64636785
rs13264061-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,OXR1,Neuroticism,"neuroticism measurement",'-,GCST007084,8:106554084
rs2721938-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,TRPS1,Neuroticism,"neuroticism measurement",'-,GCST007084,8:115623384
rs12137398-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,CAMTA1,Neuroticism,"neuroticism measurement",'-,GCST007084,1:7730488
rs78116078-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"IGSF21, LINC01654",Neuroticism,"neuroticism measurement",'-,GCST007084,1:18107631
rs57351360-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,EIF4G3,Neuroticism,"neuroticism measurement",'-,GCST007084,1:20903045
rs2102341-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,"GRIK3, FTLP18",Neuroticism,"neuroticism measurement",'-,GCST007084,1:36728307
rs1993709-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,RPL31P12,Neuroticism,"neuroticism measurement",'-,GCST007084,1:72372846
rs17096778-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,SLC44A5,Neuroticism,"neuroticism measurement",'-,GCST007084,1:75344285
rs12127965-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,DNM3,Neuroticism,"neuroticism measurement",'-,GCST007084,1:171845825
rs16846938-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,RABGAP1L,Neuroticism,"neuroticism measurement",'-,GCST007084,1:174400537
rs2488401-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,DENND1B,Neuroticism,"neuroticism measurement",'-,GCST007084,1:197733271
rs3811489-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,GALNT2,Neuroticism,"neuroticism measurement",'-,GCST007084,1:230103512
rs4396680-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,"KLF11, GRHL1",Neuroticism,"neuroticism measurement",'-,GCST007084,2:10038109
rs12466146-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,MYCNOS,Neuroticism,"neuroticism measurement",'-,GCST007084,2:15937077
rs34668726-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,KLHL29,Neuroticism,"neuroticism measurement",'-,GCST007084,2:23673031
rs6545135-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,RPL7P13,Neuroticism,"neuroticism measurement",'-,GCST007084,2:49825457
rs2678897-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,VRK2,Neuroticism,"neuroticism measurement",'-,GCST007084,2:57942283
rs17619012-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,WDPCP,Neuroticism,"neuroticism measurement",'-,GCST007084,2:63666455
rs72932350-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,"CHMP3, RNF103-CHMP3",Neuroticism,"neuroticism measurement",'-,GCST007084,2:86517107
rs12622150-<b>?</b>,"3 x 10-17",,NR,'-,'-,'-,ACVR2A,Neuroticism,"neuroticism measurement",'-,GCST007084,2:147915821
rs1226413-<b>?</b>,"4 x 10-13",,NR,'-,'-,'-,LINC01876,Neuroticism,"neuroticism measurement",'-,GCST007084,2:156254513
rs10174311-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"PSMD14, LINC01806",Neuroticism,"neuroticism measurement",'-,GCST007084,2:161286891
rs2121324-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"CTAGE14P, B3GALT1-AS1",Neuroticism,"neuroticism measurement",'-,GCST007084,2:167785325
rs1962104-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,AGO2,Neuroticism,"neuroticism measurement",'-,GCST007084,8:140625230
rs9298995-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,GLIS3,Neuroticism,"neuroticism measurement",'-,GCST007084,9:4145340
rs56116032-<b>?</b>,"7 x 10-12",,NR,'-,'-,'-,"AKAP8P1, JKAMPP1",Neuroticism,"neuroticism measurement",'-,GCST007084,9:11453149
rs10119773-<b>?</b>,"5 x 10-11",,NR,'-,'-,'-,ELAVL2,Neuroticism,"neuroticism measurement",'-,GCST007084,9:23736402
rs10812851-<b>?</b>,"6 x 10-11",,NR,'-,'-,'-,LINGO2,Neuroticism,"neuroticism measurement",'-,GCST007084,9:28607879
rs7869969-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,FAM120A,Neuroticism,"neuroticism measurement",'-,GCST007084,9:93455165
rs28427480-<b>?</b>,"9 x 10-13",,NR,'-,'-,'-,PTCH1,Neuroticism,"neuroticism measurement",'-,GCST007084,9:95502660
rs7027172-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,"LINC01505, RNA5SP292",Neuroticism,"neuroticism measurement",'-,GCST007084,9:106809176
rs7025144-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,"TLR4, TPT1P9",Neuroticism,"neuroticism measurement",'-,GCST007084,9:117734109
rs11793462-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,SCAI,Neuroticism,"neuroticism measurement",'-,GCST007084,9:125128739
rs3740393-<b>?</b>,"5 x 10-10",,NR,'-,'-,'-,"AS3MT, BORCS7-ASMT",Neuroticism,"neuroticism measurement",'-,GCST007084,10:102876898
rs11599236-<b>?</b>,"7 x 10-8",,NR,'-,'-,'-,SORCS3,Neuroticism,"neuroticism measurement",'-,GCST007084,10:104694914
rs2791459-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,SORCS3,Neuroticism,"neuroticism measurement",'-,GCST007084,10:105026885
rs2683653-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,LINC02627,Neuroticism,"neuroticism measurement",'-,GCST007084,10:105894955
rs703409-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,EMX2OS,Neuroticism,"neuroticism measurement",'-,GCST007084,10:117539176
rs11603808-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,ARNTL,Neuroticism,"neuroticism measurement",'-,GCST007084,11:13253444
rs297346-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,SOX6,Neuroticism,"neuroticism measurement",'-,GCST007084,11:16334225
rs704615-<b>?</b>,"7 x 10-8",,NR,'-,'-,'-,LINC02755,Neuroticism,"neuroticism measurement",'-,GCST007084,11:29683410
rs2071754-<b>?</b>,"9 x 10-13",,NR,'-,'-,'-,PAX6,Neuroticism,"neuroticism measurement",'-,GCST007084,11:31791034
rs4558156-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,'-,Neuroticism,"neuroticism measurement",'-,GCST007084,11:42751206
rs7107356-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,"MTCH2, AGBL2",Neuroticism,"neuroticism measurement",'-,GCST007084,11:47654618
rs10896636-<b>?</b>,"9 x 10-13",,NR,'-,'-,'-,ZDHHC5,Neuroticism,"neuroticism measurement",'-,GCST007084,11:57680560
rs2510044-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,USP35,Neuroticism,"neuroticism measurement",'-,GCST007084,11:78197968
rs1903844-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,GRM5,Neuroticism,"neuroticism measurement",'-,GCST007084,11:88739201
rs10790767-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,CNTN5,Neuroticism,"neuroticism measurement",'-,GCST007084,11:99521947
rs1019706-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,ZNF804A,Neuroticism,"neuroticism measurement",'-,GCST007084,2:184590902
rs13426445-<b>?</b>,"8 x 10-9",,NR,'-,'-,'-,NBEAL1,Neuroticism,"neuroticism measurement",'-,GCST007084,2:203156074
rs138218528-<b>?</b>,"8 x 10-9",,NR,'-,'-,'-,ERBB4,Neuroticism,"neuroticism measurement",'-,GCST007084,2:211812159
rs4673866-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,"ENSAP3, VWC2L",Neuroticism,"neuroticism measurement",'-,GCST007084,2:214588503
rs1431071-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,NYAP2,Neuroticism,"neuroticism measurement",'-,GCST007084,2:225488838
rs2278609-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,PLCL2,Neuroticism,"neuroticism measurement",'-,GCST007084,3:16882947
rs9845443-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,SATB1-AS1,Neuroticism,"neuroticism measurement",'-,GCST007084,3:18657436
rs1542212-<b>?</b>,"3 x 10-12",,NR,'-,'-,'-,ARPP21,Neuroticism,"neuroticism measurement",'-,GCST007084,3:35642443
rs9839427-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,"SEMA3B-AS1, GNAI2",Neuroticism,"neuroticism measurement",'-,GCST007084,3:50264152
rs2015971-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,STAB1,Neuroticism,"neuroticism measurement",'-,GCST007084,3:52512804
rs931235-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,LINC02040,Neuroticism,"neuroticism measurement",'-,GCST007084,3:65169885
rs3772912-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,GBE1,Neuroticism,"neuroticism measurement",'-,GCST007084,3:81649330
rs4637303-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,CADM2,Neuroticism,"neuroticism measurement",'-,GCST007084,3:85503637
rs1282545-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,"LINC01990, BBX",Neuroticism,"neuroticism measurement",'-,GCST007084,3:107480862
rs6767880-<b>?</b>,"9 x 10-8",,NR,'-,'-,'-,'-,Neuroticism,"neuroticism measurement",'-,GCST007084,3:110432963
rs9874540-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,'-,Neuroticism,"neuroticism measurement",'-,GCST007084,3:117262159
rs11720684-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,EPHB1,Neuroticism,"neuroticism measurement",'-,GCST007084,3:134975594
rs11915629-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,STAG1,Neuroticism,"neuroticism measurement",'-,GCST007084,3:136420888
rs4585149-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"SLC66A1L, RN7SKP46",Neuroticism,"neuroticism measurement",'-,GCST007084,3:157776163
rs10019221-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,KCNIP4,Neuroticism,"neuroticism measurement",'-,GCST007084,4:21783741
rs6447129-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,"SLC30A9, BEND4",Neuroticism,"neuroticism measurement",'-,GCST007084,4:42107530
rs10005233-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,SNCA,Neuroticism,"neuroticism measurement",'-,GCST007084,4:89822180
rs6842049-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,SLC7A11-AS1,Neuroticism,"neuroticism measurement",'-,GCST007084,4:138152781
rs5000944-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,LINC00499,Neuroticism,"neuroticism measurement",'-,GCST007084,4:138711537
rs72704531-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,GPM6A,Neuroticism,"neuroticism measurement",'-,GCST007084,4:175921246
rs7128648-<b>?</b>,"7 x 10-15",,NR,'-,'-,'-,NCAM1,Neuroticism,"neuroticism measurement",'-,GCST007084,11:113034407
rs1893696-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,TTC12,Neuroticism,"neuroticism measurement",'-,GCST007084,11:113335553
rs4245150-<b>?</b>,"3 x 10-19",,NR,'-,'-,'-,DRD2,Neuroticism,"neuroticism measurement",'-,GCST007084,11:113493925
rs12794371-<b>?</b>,"8 x 10-9",,NR,'-,'-,'-,KIRREL3,Neuroticism,"neuroticism measurement",'-,GCST007084,11:126839505
rs167915-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,IGSF9B,Neuroticism,"neuroticism measurement",'-,GCST007084,11:133927686
rs10879708-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,LINC02882,Neuroticism,"neuroticism measurement",'-,GCST007084,12:73928040
rs10745624-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,EEA1,Neuroticism,"neuroticism measurement",'-,GCST007084,12:92882421
rs6606710-<b>?</b>,"4 x 10-14",,NR,'-,'-,'-,MYO1H,Neuroticism,"neuroticism measurement",'-,GCST007084,12:109411098
rs10507274-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,SPRING1,Neuroticism,"neuroticism measurement",'-,GCST007084,12:116723171
rs3741475-<b>?</b>,"9 x 10-12",,NR,'-,'-,'-,NOS1,Neuroticism,"neuroticism measurement",'-,GCST007084,12:117232109
rs6490177-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,TAOK3,Neuroticism,"neuroticism measurement",'-,GCST007084,12:118358280
rs1330745-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,CTAGE16P,Neuroticism,"neuroticism measurement",'-,GCST007084,13:58585815
rs1892350-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,"BCRP9, LINC00364",Neuroticism,"neuroticism measurement",'-,GCST007084,13:67506482
rs11841876-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,"ZDHHC20P4, SNRPFP3",Neuroticism,"neuroticism measurement",'-,GCST007084,13:69006953
rs9517313-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,"FARP1, STK24",Neuroticism,"neuroticism measurement",'-,GCST007084,13:98453638
rs1782170-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,LINC02315,Neuroticism,"neuroticism measurement",'-,GCST007084,14:41205700
rs8019581-<b>?</b>,"8 x 10-8",,NR,'-,'-,'-,"KRT8P2, ARHGAP16P",Neuroticism,"neuroticism measurement",'-,GCST007084,14:43586336
rs11627348-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,OTX2-AS1,Neuroticism,"neuroticism measurement",'-,GCST007084,14:56828686
rs4899292-<b>?</b>,"8 x 10-10",,NR,'-,'-,'-,EXD2,Neuroticism,"neuroticism measurement",'-,GCST007084,14:69237335
rs4140799-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,SIPA1L1,Neuroticism,"neuroticism measurement",'-,GCST007084,14:71704252
rs35641442-<b>?</b>,"2 x 10-15",,NR,'-,'-,'-,"FCF1, YLPM1",Neuroticism,"neuroticism measurement",'-,GCST007084,14:74740560
rs1563245-<b>?</b>,"5 x 10-10",,NR,'-,'-,'-,SEMA6D,Neuroticism,"neuroticism measurement",'-,GCST007084,15:47226610
rs2286664-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,"IQCH, IQCH-AS1",Neuroticism,"neuroticism measurement",'-,GCST007084,15:67409157
rs11633354-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,LINGO1,Neuroticism,"neuroticism measurement",'-,GCST007084,15:77740015
rs34133817-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,'-,Neuroticism,"neuroticism measurement",'-,GCST007084,15:96619737
rs4653218-<b>T</b>,"6 x 10-11",,NR,'-,"0.011413 unit decrease",[0.008-0.0148],GRIK3,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,1:36731718
rs569460-<b>C</b>,"4 x 10-10",,NR,'-,"0.011123 unit decrease",[0.0076-0.0146],GRIK3,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,1:36753828
rs1002656-<b>C</b>,"2 x 10-9",,NR,'-,"0.010652 unit decrease",[0.0072-0.0141],"FTLP18, GRIK3","General factor of neuroticism","neuroticism measurement",'-,GCST007709,1:36727140
rs6425999-<b>T</b>,"1 x 10-8",,NR,'-,"0.010262 unit increase",[0.0067-0.0138],GRIK3,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,1:36762600
rs34668726-<b>C</b>,"1 x 10-8",,NR,'-,"0.0097909 unit increase",[0.0064-0.0132],KLHL29,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,2:23673031
rs1109027-<b>A</b>,"4 x 10-8",,NR,'-,"0.009453 unit decrease",[0.0061-0.0128],WDPCP,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,2:63588072
rs2042555-<b>G</b>,"4 x 10-11",,NR,'-,"0.011495 unit increase",[0.0081-0.0149],"RNA5SP106, ACVR2A","General factor of neuroticism","neuroticism measurement",'-,GCST007709,2:147797920
rs1528838-<b>C</b>,"2 x 10-9",,NR,'-,"0.010412 unit increase",[0.007-0.0138],RNA5SP106,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,2:147703922
rs4673866-<b>A</b>,"5 x 10-9",,NR,'-,"0.010377 unit increase",[0.0069-0.0138],"ENSAP3, VWC2L","General factor of neuroticism","neuroticism measurement",'-,GCST007709,2:214588503
rs6773869-<b>A</b>,"3 x 10-9",,NR,'-,"0.010319 unit increase",[0.0069-0.0137],PLCL2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,3:16828841
rs2278609-<b>T</b>,"2 x 10-8",,NR,'-,"0.0097604 unit increase",[0.0064-0.0132],PLCL2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,3:16882947
rs1542212-<b>T</b>,"1 x 10-10",,NR,'-,"0.011229 unit increase",[0.0078-0.0146],ARPP21,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,3:35642443
rs73082363-<b>T</b>,"4 x 10-8",,NR,'-,"0.0095769 unit decrease",[0.0062-0.013],QRICH1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,3:49092945
rs818225-<b>C</b>,"5 x 10-9",,NR,'-,"0.0102 unit decrease",[0.0068-0.0136],CADM2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,3:85332990
rs6798167-<b>A</b>,"3 x 10-8",,NR,'-,"0.0096646 unit decrease",[0.0063-0.0131],'-,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,3:117241591
rs6795372-<b>T</b>,"4 x 10-9",,NR,'-,"0.010291 unit increase",[0.0069-0.0137],"STAG1-DT, SLC35G2","General factor of neuroticism","neuroticism measurement",'-,GCST007709,3:136765048
rs10087081-<b>C</b>,"5 x 10-14",,NR,'-,"0.013212 unit increase",[0.0098-0.0166],XKR6,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11117407
rs4841006-<b>T</b>,"7 x 10-14",,NR,'-,"0.01301 unit increase",[0.0096-0.0164],"CLDN23, RN7SL178P","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8643964
rs3021416-<b>G</b>,"1 x 10-13",,NR,'-,"0.012997 unit decrease",[0.0096-0.0164],ERI1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9061626
rs1567398-<b>G</b>,"1 x 10-13",,NR,'-,"0.012993 unit decrease",[0.0096-0.0164],MFHAS1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8869294
rs427370-<b>C</b>,"2 x 10-13",,NR,'-,"0.012847 unit decrease",[0.0094-0.0163],"RPL10P19, RNU6-682P","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8913002
